회사명,거래소코드,회계년도,자본금회전률(IFRS),유형자산회전율(IFRS),재고자산회전률(IFRS),자기자본회전률(IFRS),타인자본회전률(IFRS),총자본회전률(IFRS),자본금회전률(IFRS연결),유형자산회전율(IFRS연결),재고자산회전률(IFRS연결),자기자본회전률(IFRS연결),타인자본회전률(IFRS연결),총자본회전률(IFRS연결)
(주)ES큐브,050120,2017/12,1.19,6.09,89.52,0.53,1.09,0.35,1.15,3.83,4.53,0.49,1.07,0.34
(주)ES큐브,050120,2018/12,0.75,3.41,64.64,0.45,0.83,0.29,0.81,2.52,3.84,0.47,0.9,0.31
(주)ES큐브,050120,2019/12,0.68,2.66,55.45,0.47,0.46,0.23,1.04,2.69,5.18,0.6,0.2,0.15
(주)ES큐브,050120,2020/12,0.54,5.44,54.62,0.48,0.66,0.28,1.44,3.46,9.46,1.12,0.16,0.14
(주)ES큐브,050120,2021/12,0.59,57.55,128.33,0.59,4.13,0.52,1.82,4.02,11.03,1.36,0.16,0.14
(주)가비아,079940,2011/12,5.31,5.36,4677.21,1.47,2.62,0.94,8.3,2.51,2306.01,1.23,3.3,0.9
(주)가비아,079940,2012/12,5.9,2.49,719.91,1.39,2.29,0.86,10.6,2.3,525.34,1.28,3.24,0.92
(주)가비아,079940,2013/12,6.08,1.74,466.95,1.23,2.13,0.78,10.6,1.89,413.22,1.11,2.89,0.8
(주)가비아,079940,2014/12,6.54,1.95,1083.59,1.2,2.5,0.81,11.97,2.17,1718.42,1.12,3.52,0.85
(주)가비아,079940,2015/12,7.16,2.18,0,1.2,2.93,0.85,13.54,2.48,0,1.15,4.16,0.9
(주)가비아,079940,2016/12,7.3,2.21,0,1.12,3.2,0.83,15.1,2.55,149.85,1.14,4.02,0.89
(주)가비아,079940,2017/12,7.74,2.34,0,1.13,3.17,0.83,17.17,2.62,76.48,1.19,3.67,0.9
(주)가비아,079940,2018/12,8.16,2.36,0,1.13,3,0.82,19.02,2.72,70.39,1.2,3.64,0.9
(주)가비아,079940,2019/12,8.61,1.82,0,1.12,2.41,0.77,21.91,2.21,64.12,1.19,2.9,0.84
(주)가비아,079940,2020/12,9.47,1.49,0,1.14,1.87,0.71,24.98,1.77,59.27,1.1,2.23,0.74
(주)가비아,079940,2021/12,10.62,1.41,0,1.18,1.72,0.7,29.62,1.8,33.51,1.06,2.16,0.71
(주)가온칩스,399720,2018/12,,,,,,,,,,,,
(주)가온칩스,399720,2019/12,,,,,,,,,,,,
(주)가온칩스,399720,2020/12,42.75,4.83,0,1.57,1.17,0.67,,,,,,
(주)가온칩스,399720,2021/12,12.61,7.59,0,1.97,2.16,1.03,,,,,,
(주)강스템바이오텍,217730,2013/12,,,,,,,,,,,,
(주)강스템바이오텍,217730,2014/12,,,,,,,,,,,,
(주)강스템바이오텍,217730,2015/12,0.21,0.5,4.43,0.07,0.4,0.06,,,,,,
(주)강스템바이오텍,217730,2016/12,0.12,0.24,1.84,0.04,0.06,0.02,,,,,,
(주)강스템바이오텍,217730,2017/12,0.71,0.65,4.67,0.23,0.24,0.12,1.12,0.69,5.29,0.37,0.4,0.19
(주)강스템바이오텍,217730,2018/12,0.11,0.07,0.9,0.03,0.05,0.02,0.99,0.65,5.03,0.25,0.38,0.15
(주)강스템바이오텍,217730,2019/12,0.03,0.02,1.05,0,0.01,0,0.53,0.26,5.5,0.1,0.17,0.06
(주)강스템바이오텍,217730,2020/12,0.02,0.01,9.52,0,0.01,0,0.74,0.29,29.42,0.16,0.23,0.09
(주)강스템바이오텍,217730,2021/12,0.24,0.17,9.49,0.06,0.2,0.05,0.78,0.39,22.18,0.22,0.35,0.13
(주)강원에너지,114190,2011/11,18.95,14.19,21.24,2.29,2.6,1.22,,,,,,
(주)강원에너지,114190,2012/12,20.09,24.11,27.95,2.95,2,1.19,,,,,,
(주)강원에너지,114190,2013/12,8.71,11.01,17.19,1.24,1.27,0.63,,,,,,
(주)강원에너지,114190,2014/12,7.61,6.96,26.93,1.07,2.39,0.74,,,,,,
(주)강원에너지,114190,2015/12,6.59,4.96,32.89,0.93,2.29,0.66,6.06,3.6,37.43,0.82,1.6,0.54
(주)강원에너지,114190,2016/12,5.83,4.63,56.65,0.82,2.06,0.59,5.54,3.06,53.9,0.76,1.66,0.52
(주)강원에너지,114190,2017/12,10.9,8.87,238.62,1.65,2.88,1.05,10.76,5.44,235.53,1.59,2.45,0.96
(주)강원에너지,114190,2018/12,11.22,9.49,189.82,1.78,2.12,0.97,11.22,5.7,189.82,1.74,1.94,0.92
(주)강원에너지,114190,2019/12,5.19,4.74,128.45,1.18,1.17,0.59,5.19,3.38,128.45,1.19,1.08,0.57
(주)강원에너지,114190,2020/12,4.31,4.97,226.52,1.91,1.6,0.87,4.31,4.49,226.52,2.01,1.49,0.86
(주)강원에너지,114190,2021/12,3.99,7.03,97.48,1.93,3.07,1.19,,,,,,
(주)고려시멘트,198440,2014/12,,,,,,,,,,,,
(주)고려시멘트,198440,2015/12,,,,,,,,,,,,
(주)고려시멘트,198440,2016/12,,,,,,,,,,,,
(주)고려시멘트,198440,2017/12,28.76,1.83,26.32,1.13,2.28,0.76,,,,,,
(주)고려시멘트,198440,2018/12,27.47,1.77,22.65,1.05,2.16,0.7,,,,,,
(주)고려시멘트,198440,2019/12,22.18,1.42,12.68,0.81,1.78,0.56,,,,,,
(주)고려시멘트,198440,2020/12,21.95,1.38,13.47,0.78,2.28,0.58,,,,,,
(주)고려시멘트,198440,2021/12,20.54,1.02,17.09,0.63,2.5,0.5,,,,,,
(주)고바이오랩,348150,2019/12,,,,,,,,,,,,
(주)고바이오랩,348150,2020/12,0.59,15.62,43.5,0.08,2.98,0.08,0.59,15.62,43.5,0.08,1.46,0.08
(주)고바이오랩,348150,2021/12,0.35,0.96,16,0.04,0.4,0.04,0.35,0.96,16,0.04,0.32,0.04
(주)고영테크놀러지,098460,2011/12,18.71,5.84,7.31,1.28,5.16,1.02,20.09,6.18,7.34,1.38,5.23,1.09
(주)고영테크놀러지,098460,2012/12,22.93,6.67,7.16,1.3,5.67,1.06,24.54,7.05,6.73,1.41,5.78,1.13
(주)고영테크놀러지,098460,2013/12,23.21,6.92,6.29,1.13,5.17,0.93,24.99,7.37,5.79,1.23,5.26,1
(주)고영테크놀러지,098460,2014/12,24.21,7.86,8.68,1.24,6.05,1.03,25.52,8.21,7.33,1.33,5.89,1.09
(주)고영테크놀러지,098460,2015/12,20.47,7.08,10.73,1.1,5.53,0.92,21.56,7.36,7.8,1.18,5.48,0.97
(주)고영테크놀러지,098460,2016/12,22.45,7.16,12.23,1.05,4.84,0.86,25.16,7.89,8.83,1.19,5.27,0.97
(주)고영테크놀러지,098460,2017/12,27.63,7.93,14.91,1.17,4.87,0.94,29.74,8.27,9.72,1.28,4.98,1.02
(주)고영테크놀러지,098460,2018/12,32.12,7.78,13.64,1.12,4.8,0.91,34.81,8.15,8.87,1.23,4.91,0.98
(주)고영테크놀러지,098460,2019/12,30.57,6.18,10.26,0.87,3.93,0.71,32.41,6.31,6.56,0.95,3.86,0.76
(주)고영테크놀러지,098460,2020/12,22.89,4.52,7.02,0.62,2.95,0.51,26.16,4.91,4.94,0.73,3.03,0.59
(주)고영테크놀러지,098460,2021/12,33.52,6.38,9.06,0.86,3.49,0.69,36.02,6.23,5.82,0.88,2.81,0.67
(주)골드앤에스,035290,2011/12,1.84,41.12,16.01,2.14,2.05,1.05,1.84,39.79,16.01,2.16,1.99,1.04
(주)골드앤에스,035290,2012/12,1.42,47.54,15.93,1.8,1.81,0.9,1.42,43.54,15.93,1.83,1.73,0.89
(주)골드앤에스,035290,2013/12,1.02,44.06,12.67,2.03,1.48,0.86,1.1,3.22,13.69,2.05,1.22,0.77
(주)골드앤에스,035290,2014/12,1.4,44.83,9.69,3.11,1.32,0.93,1.49,1.35,10.3,2.48,0.86,0.64
(주)골드앤에스,035290,2015/12,2.79,55.33,8.42,1.84,1.56,0.85,2.79,1.92,8.42,1.63,1.02,0.63
(주)골드앤에스,035290,2016/12,1.6,64.4,7.41,1.09,2.48,0.76,1.6,59.4,7.41,1.08,2.38,0.74
(주)골드앤에스,035290,2017/12,1.21,48.25,8.49,0.94,3.17,0.73,1.21,47.18,8.49,0.93,3.11,0.71
(주)골드앤에스,035290,2018/12,0.77,1.51,7.39,0.64,0.53,0.29,0.77,1.51,7.39,0.64,0.53,0.29
(주)골드앤에스,035290,2019/12,1.21,1.02,8.55,0,0.31,0.26,1.21,1.02,8.55,0,0.31,0.26
(주)골드앤에스,035290,2020/12,0.43,1.13,9.6,0,0.3,0.23,0.43,1.13,9.6,0,0.3,0.23
(주)골드앤에스,035290,2021/12,0.75,3.89,37.5,0.91,1.59,0.58,0.75,3.89,37.5,0.91,1.57,0.58
(주)골드퍼시픽,038530,2011/12,1.01,1.9,3.44,0.52,2.92,0.44,,,,,,
(주)골드퍼시픽,038530,2012/12,0.92,1.12,2.02,0.47,1.67,0.37,,,,,,
(주)골드퍼시픽,038530,2013/12,0.53,0.81,1.06,0.32,0.64,0.21,0.56,0.73,1.11,0.44,0.41,0.21
(주)골드퍼시픽,038530,2014/12,0.32,0.75,1.02,0.29,0.34,0.16,0.94,1.66,2.15,1,0.65,0.39
(주)골드퍼시픽,038530,2015/12,0.28,1.49,2.3,0.33,0.55,0.21,0.85,2.98,3.98,0.99,1.14,0.53
(주)골드퍼시픽,038530,2016/12,0.34,4.9,10.88,0.87,1.15,0.5,,,,,,
(주)골드퍼시픽,038530,2017/12,0.31,3.83,16.75,1.39,0.33,0.27,,,,,,
(주)골드퍼시픽,038530,2018/12,0.94,8.09,8.25,0.44,0.29,0.17,0.67,60.31,3.55,0.28,0.32,0.15
(주)골드퍼시픽,038530,2019/12,0.89,22.82,5.2,0.55,0.33,0.21,,,,,,
(주)골드퍼시픽,038530,2020/12,0.57,17.79,4.07,0.35,0.45,0.2,,,,,,
(주)골드퍼시픽,038530,2021/12,0.23,10.85,2.68,0.14,0.48,0.11,,,,,,
(주)골프존,215000,2015/12,,,,,,,,,,,,
(주)골프존,215000,2016/12,62.74,2.83,17.79,1.7,3.19,1.11,69.15,2.97,17.14,1.8,3.23,1.15
(주)골프존,215000,2017/12,54.77,2.52,16.14,1.16,2.88,0.82,63.77,2.77,15.52,1.29,3.04,0.91
(주)골프존,215000,2018/12,61.05,2.58,21.02,1.01,3.34,0.78,63.33,2.56,16.82,1.03,3.22,0.78
(주)골프존,215000,2019/12,76.19,2.49,30.98,1.19,3.06,0.85,78.73,2.48,23.11,1.25,2.88,0.87
(주)골프존,215000,2020/12,89.57,2.53,36.98,1.29,2.57,0.86,95.14,2.56,27.99,1.4,2.35,0.88
(주)골프존,215000,2021/12,131.72,3.81,30.32,1.6,2.91,1.03,140.33,3.8,24.73,1.7,2.64,1.03
(주)골프존뉴딘홀딩스,121440,2011/12,37.19,6.92,57.87,0.83,8.9,0.76,38.25,6.57,49.61,0.84,7.91,0.76
(주)골프존뉴딘홀딩스,121440,2012/12,45,2.98,25.68,0.73,4.36,0.62,47.16,2.31,24.26,0.76,3.66,0.63
(주)골프존뉴딘홀딩스,121440,2013/12,27.68,2.5,14.34,0.81,2.58,0.62,29.73,1.74,14.54,0.87,2.13,0.62
(주)골프존뉴딘홀딩스,121440,2014/12,21.01,2.46,12.76,0.86,2.81,0.66,23.32,1.27,13.67,0.94,1.76,0.61
(주)골프존뉴딘홀딩스,121440,2015/12,1.48,0.21,1.98,0.06,0.4,0.05,8.26,0.38,6.03,0.32,0.67,0.22
(주)골프존뉴딘홀딩스,121440,2016/12,1.29,0.28,0,0.05,0.62,0.05,11.36,0.61,8.41,0.45,1.08,0.32
(주)골프존뉴딘홀딩스,121440,2017/12,1.1,0.25,0,0.05,0.42,0.04,9.98,0.54,5.76,0.42,0.88,0.28
(주)골프존뉴딘홀딩스,121440,2018/12,0.75,0.18,0,0.03,0.24,0.03,10.41,0.58,4.86,0.45,0.82,0.29
(주)골프존뉴딘홀딩스,121440,2019/12,1.26,0.35,0,0.06,0.32,0.05,10.69,0.62,4.59,0.49,0.74,0.3
(주)골프존뉴딘홀딩스,121440,2020/12,2.68,0.84,777.53,0.13,0.63,0.1,13.63,1.34,6.15,0.64,0.89,0.37
(주)골프존뉴딘홀딩스,121440,2021/12,3.74,1.19,574.42,0.15,0.81,0.13,19.5,5.44,8.38,0.78,1.26,0.48
(주)공구우먼,366030,2017/12,,,,,,,,,,,,
(주)공구우먼,366030,2018/12,,,,,,,,,,,,
(주)공구우먼,366030,2019/12,,,,,,,,,,,,
(주)공구우먼,366030,2020/12,648.87,2.95,21.1,1.54,11.99,1.36,,,,,,
(주)공구우먼,366030,2021/12,313.15,4.16,19.79,1.96,13.22,1.7,,,,,,
(주)광림,014200,2011/12,7,4.49,3.5,1.91,2.51,1.08,,,,,,
(주)광림,014200,2012/12,4.97,3.58,3.21,1.42,3.05,0.97,,,,,,
(주)광림,014200,2013/12,5.41,4.33,4.28,1.61,3.28,1.08,,,,,,
(주)광림,014200,2014/12,4.84,3.88,4.23,1.41,2.04,0.83,12.11,4.08,3.01,1.79,2,0.95
(주)광림,014200,2015/12,12.41,9.85,10.56,3.22,3.97,1.78,,,,,,
(주)광림,014200,2016/12,4.03,3.48,4.06,1.02,1.37,0.59,3.6,1.23,3.29,0.77,0.75,0.38
(주)광림,014200,2017/12,4.1,3.83,5.3,0.75,0.78,0.38,5.58,2.09,5.6,1.22,1.25,0.62
(주)광림,014200,2018/12,3.08,3,4.29,0.51,0.49,0.25,5.57,2.33,5.81,1.38,1.38,0.69
(주)광림,014200,2019/12,3.64,3.9,4.84,1.03,0.75,0.43,5.69,2.44,5.51,1.61,1.12,0.66
(주)광림,014200,2020/12,3.94,4.15,6.35,1,0.95,0.49,6.09,2.6,6.44,1.87,1.1,0.69
(주)광림,014200,2021/12,4.27,4.89,7.28,0.78,1.76,0.54,5.88,3.21,7,1.82,1.38,0.78
(주)광무,029480,2011/12,0.97,4.74,3.9,0.91,1.08,0.49,0.83,2.85,4.65,1.37,1.36,0.68
(주)광무,029480,2012/12,1.17,2.71,4.85,0.94,1.34,0.55,6.37,3.3,5.41,1.4,1.57,0.74
(주)광무,029480,2013/12,1.27,0.87,3.5,0.42,0.49,0.23,2.58,1.75,3.23,1.07,0.78,0.45
(주)광무,029480,2014/12,4.07,3.92,160.08,3.87,2.08,1.35,,,,,,
(주)광무,029480,2015/12,1.7,2.11,49.9,2.17,1.08,0.72,,,,,,
(주)광무,029480,2016/12,2.34,3.27,44.39,3.35,1.54,1.05,,,,,,
(주)광무,029480,2017/12,1.58,2.73,47.72,1.99,1.18,0.74,,,,,,
(주)광무,029480,2018/12,1.28,2.65,87.19,1.78,1.31,0.75,1.41,2.74,40.38,2.15,1.3,0.81
(주)광무,029480,2019/12,2.25,5.1,65.66,1.58,0.98,0.61,3.25,5.9,67.74,2.17,1.26,0.8
(주)광무,029480,2020/12,3.56,14.53,76.1,1.08,1.05,0.53,3.58,8.38,73.73,1.07,0.92,0.49
(주)광무,029480,2021/12,1.88,11.42,175.24,0.49,0.59,0.27,1.95,7.54,142.52,0.5,0.56,0.27
(주)구스앤홈,329050,2017/12,,,,,,,,,,,,
(주)구스앤홈,329050,2018/12,,,,,,,,,,,,
(주)구스앤홈,329050,2019/12,,,,,,,,,,,,
(주)구스앤홈,329050,2020/12,,,,,,,,,,,,
(주)구영테크,053270,2011/12,9.72,2.25,12.56,2.29,0.98,0.69,22.99,1.82,9.81,4.04,1.35,1.01
(주)구영테크,053270,2012/12,10.18,2.26,10.26,2.29,0.89,0.64,24.23,1.92,9.14,4.25,1.31,1
(주)구영테크,053270,2013/12,11.86,2.38,10.29,2.54,1.04,0.74,26.87,2.08,9.43,4.56,1.47,1.11
(주)구영테크,053270,2014/12,9.53,2.45,10.04,2.13,1.23,0.78,20.89,2.03,8.61,3.74,1.59,1.12
(주)구영테크,053270,2015/12,8.8,2.7,11.85,2.02,1.48,0.85,17.39,1.96,8.27,3.17,1.65,1.09
(주)구영테크,053270,2016/12,7.61,2.12,10.44,1.66,1.24,0.71,14.98,1.58,7.49,2.6,1.39,0.9
(주)구영테크,053270,2017/12,7.51,1.58,9.42,1.59,0.96,0.6,15.14,1.46,7.51,2.64,1.25,0.85
(주)구영테크,053270,2018/12,7.1,1.28,8.92,1.56,0.9,0.57,16.91,1.63,7.55,3.13,1.47,1
(주)구영테크,053270,2019/12,7.06,1.3,9.38,1.6,1.09,0.65,17.49,1.81,7,3.29,1.72,1.13
(주)구영테크,053270,2020/12,6.43,1.16,8.53,1.45,0.97,0.58,14.9,1.54,6.57,2.79,1.42,0.94
(주)구영테크,053270,2021/12,7.7,1.33,9.53,1.68,1.12,0.67,15.41,1.49,7.66,2.79,1.41,0.94
(주)국보디자인,066620,2011/12,32.85,86.87,975.45,2.71,3.94,1.6,34.85,91.26,1034.72,2.87,3.86,1.65
(주)국보디자인,066620,2012/12,31.59,64.31,0,2.22,3.63,1.38,31.84,64.57,0,2.26,3.54,1.38
(주)국보디자인,066620,2013/12,40.86,69.31,0,2.49,3.35,1.43,43.6,73.86,0,2.66,3.35,1.48
(주)국보디자인,066620,2014/12,42.21,66.13,0,2.34,2.82,1.28,47.03,73.65,0,2.52,2.94,1.36
(주)국보디자인,066620,2015/12,42.04,33.18,0,2.16,2.9,1.24,51.36,40.38,0,2.44,3.34,1.41
(주)국보디자인,066620,2016/12,51.1,26.75,0,2.46,3.09,1.37,53.71,27.99,0,2.37,3.12,1.34
(주)국보디자인,066620,2017/12,70.01,35.8,0,3.01,3.9,1.7,72.18,36.13,0,2.91,3.96,1.68
(주)국보디자인,066620,2018/12,61.62,32.28,0,2.33,3.79,1.44,67.8,34.67,0,2.45,3.87,1.5
(주)국보디자인,066620,2019/12,63.21,30.71,0,2.2,3.3,1.32,71.73,34.63,0,2.32,3.25,1.35
(주)국보디자인,066620,2020/12,67.68,30.92,0,1.92,2.79,1.14,76.84,34.43,0,1.99,2.85,1.17
(주)국보디자인,066620,2021/12,78.79,36.51,0,1.64,2.79,1.03,86.14,36.8,0,1.64,2.92,1.05
(주)국순당,043650,2011/12,13.92,1.62,8.4,0.72,5.95,0.64,14.3,1.51,7.84,0.72,6.07,0.64
(주)국순당,043650,2012/12,12.9,1.52,7.68,0.64,6.23,0.58,13.29,1.44,7.35,0.62,6.56,0.57
(주)국순당,043650,2013/12,10.77,1.32,6.75,0.52,5.59,0.47,11.11,1.22,6.14,0.51,4.76,0.46
(주)국순당,043650,2014/12,9.99,1.32,7,0.48,4.93,0.44,10.29,1.21,5.83,0.47,4.16,0.42
(주)국순당,043650,2015/12,8.39,1.21,6.33,0.4,4.12,0.37,8.67,1.1,5.13,0.39,3.96,0.36
(주)국순당,043650,2016/12,7.66,1.17,6.02,0.37,3.99,0.34,7.81,1.04,4.68,0.36,3.73,0.32
(주)국순당,043650,2017/12,6.73,1.14,5.7,0.32,3.54,0.29,7.03,1.02,4.3,0.3,3.17,0.28
(주)국순당,043650,2018/12,5.9,0.98,5.02,0.27,3.03,0.24,6.89,0.99,4.22,0.28,2.82,0.26
(주)국순당,043650,2019/12,5.38,0.93,4.51,0.24,3.12,0.22,11.43,1.4,6.61,0.49,2.9,0.42
(주)국순당,043650,2020/12,5.64,1.13,5.04,0.25,3.49,0.23,5.93,0.81,3.77,0.25,1.51,0.21
(주)국순당,043650,2021/12,6.91,1.51,5.77,0.28,3.43,0.26,7.3,1.35,4.88,0.28,2.79,0.25
(주)국영지앤엠,006050,2011/12,4.17,1.8,24.75,1.26,2.13,0.79,,,,,,
(주)국영지앤엠,006050,2012/12,3.51,1.38,28.37,1.11,2.06,0.72,,,,,,
(주)국영지앤엠,006050,2013/12,3.79,1.75,35.19,1.21,3.6,0.9,,,,,,
(주)국영지앤엠,006050,2014/12,3.47,1.61,30.48,1.1,3.61,0.84,,,,,,
(주)국영지앤엠,006050,2015/12,2.55,1.25,25.65,0.83,3.03,0.65,,,,,,
(주)국영지앤엠,006050,2016/12,3.06,1.62,19.09,1.03,3.45,0.8,,,,,,
(주)국영지앤엠,006050,2017/12,3.64,1.98,17.33,1.22,4.4,0.95,,,,,,
(주)국영지앤엠,006050,2018/12,3.23,1.81,19.29,1.08,5.1,0.89,,,,,,
(주)국영지앤엠,006050,2019/12,4.18,2.37,27.93,1.4,5.98,1.13,,,,,,
(주)국영지앤엠,006050,2020/12,3.69,2.07,29.86,1.24,3.7,0.93,,,,,,
(주)국영지앤엠,006050,2021/12,3.15,1.86,22.55,1.13,2.81,0.81,,,,,,
(주)국전약품,307750,2018/12,,,,,,,,,,,,
(주)국전약품,307750,2019/12,,,,,,,,,,,,
(주)국전약품,307750,2020/12,20.92,5.7,6.69,2.5,3.15,1.39,,,,,,
(주)국전약품,307750,2021/12,19.49,4.51,6.04,1.48,3.45,1.04,,,,,,
(주)그래디언트,035080,2011/12,0.31,9.63,0,0.03,0.1,0.02,14.1,11.16,11.61,1.24,1.37,0.65
(주)그래디언트,035080,2012/12,0.37,13.96,0,0.03,0.09,0.02,14.93,9.57,12.07,1.25,1.15,0.6
(주)그래디언트,035080,2013/12,0.26,18.13,0,0.02,0.11,0.02,96.33,52.59,56.88,5.1,4.93,2.51
(주)그래디언트,035080,2014/12,0.25,19.79,0,0.02,0.15,0.02,103.05,53.32,42.21,3.79,3.36,1.78
(주)그래디언트,035080,2015/12,0.42,30.87,0,0.03,0.32,0.03,116.26,61.52,32.35,3.92,3.18,1.76
(주)그래디언트,035080,2016/12,0.54,45.75,0,0.04,0.55,0.04,126.42,67.3,30.01,4.41,3.16,1.84
(주)그래디언트,035080,2017/12,0.41,33.88,0,0.03,0.82,0.03,116.42,60.89,27.68,4.48,3.09,1.83
(주)그래디언트,035080,2018/12,0.4,38.08,0,0.04,0.83,0.04,113.11,54.76,22.57,4.72,3.19,1.9
(주)그래디언트,035080,2019/12,0.29,5.69,0,0.03,0.58,0.03,112.17,33.87,27.04,4.93,3.09,1.9
(주)그래디언트,035080,2020/12,4.69,4.02,21.94,0.52,1.48,0.38,87.81,22.97,36.19,4.95,3.01,1.87
(주)그래디언트,035080,2021/12,0.36,0.37,1.97,0.05,0.06,0.03,74.6,35.72,38.63,5.2,3.03,1.91
(주)그리티,204020,2011/12,,,,,,,,,,,,
(주)그리티,204020,2012/12,,,,,,,,,,,,
(주)그리티,204020,2013/12,,,,,,,,,,,,
(주)그리티,204020,2014/12,43.99,143.1,6.45,2.49,16.93,2.17,88.57,257.41,11.06,4.88,18.84,3.88
(주)그리티,204020,2015/12,45.14,137.76,6.55,2.43,17.9,2.14,45.42,124.07,5.32,2.37,9.84,1.91
(주)그리티,204020,2016/12,31.48,119.23,6.2,2.29,15.46,2,31.67,87.62,4.62,2.23,8.26,1.75
(주)그리티,204020,2017/12,28.17,135.19,5.62,2.43,15.44,2.1,28.51,89.35,4.04,2.39,7.73,1.82
(주)그리티,204020,2018/12,23.72,163.94,4.12,1.82,11.4,1.57,24.17,110.78,3.08,1.83,6.2,1.41
(주)그리티,204020,2019/12,15.17,87.59,3.82,1.63,9.89,1.4,15.43,64.08,2.98,1.66,6.27,1.31
(주)그리티,204020,2020/12,11.42,39.72,3.67,1.62,11.26,1.42,11.77,35.33,2.95,1.69,7.41,1.38
(주)그리티,204020,2021/12,9.92,25.83,3.09,1.51,11.16,1.33,10.36,15.87,2.62,1.57,6.16,1.25
(주)그린플러스,186230,2011/12,,,,,,,,,,,,
(주)그린플러스,186230,2012/12,,,,,,,,,,,,
(주)그린플러스,186230,2013/12,,,,,,,,,,,,
(주)그린플러스,186230,2014/12,,,,,,,,,,,,
(주)그린플러스,186230,2015/12,,,,,,,,,,,,
(주)그린플러스,186230,2016/12,,,,,,,,,,,,
(주)그린플러스,186230,2017/12,,,,,,,,,,,,
(주)그린플러스,186230,2018/12,24.22,2.44,6.89,1.8,1.67,0.87,26.63,1.42,7.36,1.93,1.17,0.73
(주)그린플러스,186230,2019/12,19.03,2.29,6.61,1.31,1.76,0.75,23.52,1.51,7.93,1.59,1.31,0.72
(주)그린플러스,186230,2020/12,15.4,2.94,10.01,1.58,1.88,0.86,17.37,1.86,10.43,1.76,1.39,0.78
(주)그린플러스,186230,2021/12,14.21,3.69,10.63,1.62,2.3,0.95,15.51,2.37,10.43,1.76,1.74,0.87
(주)극동자동화,272420,2014/12,,,,,,,,,,,,
(주)극동자동화,272420,2015/12,,,,,,,,,,,,
(주)극동자동화,272420,2016/12,,,,,,,,,,,,
(주)극동자동화,272420,2017/12,,,,,,,,,,,,
(주)글로벌스탠다드테크놀로지,083450,2011/12,10.81,5.05,4.55,1.62,2.29,0.95,11.04,4.14,4.17,1.61,2.17,0.93
(주)글로벌스탠다드테크놀로지,083450,2012/12,15.75,4.57,4.36,2.1,3.22,1.27,16.27,4.11,4.06,2.04,3.03,1.22
(주)글로벌스탠다드테크놀로지,083450,2013/12,18.21,5.07,5.08,2.18,4.7,1.49,18.69,4.43,4.71,2.06,4.28,1.39
(주)글로벌스탠다드테크놀로지,083450,2014/12,18.87,5.46,6.31,2.03,4.83,1.43,19.55,4.62,5.88,1.91,4.56,1.34
(주)글로벌스탠다드테크놀로지,083450,2015/12,17.19,4.48,7.98,1.68,5.56,1.29,18.12,3.94,7.36,1.57,5.25,1.21
