회사명,거래소코드,회계년도,총자본정상영업이익률(IFRS),자기자본순이익률(IFRS),총자본순이익률(IFRS),매출액총이익률(IFRS),금융비용부담률(IFRS),경영자본순이익률(IFRS),총자본정상영업이익률(IFRS연결),자기자본순이익률(IFRS연결),총자본순이익률(IFRS연결),매출액총이익률(IFRS연결),금융비용부담률(IFRS연결),경영자본순이익률(IFRS연결)
(주)ES큐브,050120,2018/12,0.65,-5.56,-3.6,17.93,2.31,-8.1,-1.11,-5.54,-5.61,22.89,2.29,-9.56
(주)ES큐브,050120,2019/12,0.48,-21.14,-10.42,20.4,10.05,-33.25,-0.91,-21.76,-4.78,18.75,7.25,-5.99
(주)ES큐브,050120,2020/12,1.33,-45.82,-26.67,20.12,9.67,-132.8,1.75,-39.39,-4.29,29.93,4.05,-4.61
(주)ES큐브,050120,2021/12,2.96,8.24,7.2,18.23,0.6,54.47,0.03,11.62,0.6,12.15,0.44,1.12
(주)가비아,079940,2011/12,10.97,14.24,9.1,38.56,0.59,18.6,13.88,18.06,11.9,44.79,-0.44,13.4
(주)가비아,079940,2012/12,6.62,20.69,12.88,38.95,-8.65,21.59,10.15,21.3,12.54,41.64,-5.46,13.73
(주)가비아,079940,2013/12,5.84,11.48,7.29,39.37,-5.66,10.75,7.97,15.65,10.77,44.98,-3.97,11.45
(주)가비아,079940,2014/12,6.38,8.43,5.69,38.79,0.17,8.2,8.83,8.18,7.12,43.71,-0.32,7.43
(주)가비아,079940,2015/12,7.98,10.64,7.55,40.54,-0.15,10.3,11.15,11.99,8.38,45.36,-0.42,8.59
(주)가비아,079940,2016/12,6.7,8.07,5.97,41.73,-0.22,8.6,10.87,10.68,8.82,46.17,-0.36,8.91
(주)가비아,079940,2017/12,5.04,5.36,3.95,41.64,-0.22,6.24,9.81,8.88,7.46,48.1,-0.28,7.57
(주)가비아,079940,2018/12,6.11,5.67,4.11,42.65,-0.52,6.41,12.77,12.58,10.77,48.92,-0.28,11.21
(주)가비아,079940,2019/12,6.42,8.96,6.11,40.72,-1.01,10.21,13.51,15.73,12.01,48.99,0.03,13.46
(주)가비아,079940,2020/12,7.88,8.46,5.26,42.54,-1.19,8.16,12.41,14.99,10.33,49.2,-0.29,11.29
(주)가비아,079940,2021/12,7.4,7.23,4.29,44.75,-1.18,5.79,11.76,12.4,8.88,49.16,-0.04,9.17
(주)가온칩스,399720,2018/12,,,,,,,,,,,,
(주)가온칩스,399720,2019/12,,,,,,,,,,,,
(주)가온칩스,399720,2020/12,7.73,17.03,7.25,29.36,-0.21,7.99,,,,,,
(주)가온칩스,399720,2021/12,19.84,37.77,19.78,33.15,0.1,21.86,,,,,,
(주)강스템바이오텍,217730,2013/12,,,,,,,,,,,,
(주)강스템바이오텍,217730,2014/12,,,,,,,,,,,,
(주)강스템바이오텍,217730,2015/12,-20.52,-27.09,-23.03,82.97,55.63,-24.7,,,,,,
(주)강스템바이오텍,217730,2016/12,-25.18,-37.55,-22.92,93.16,24.14,-24.06,,,,,,
(주)강스템바이오텍,217730,2017/12,-24.21,-45.57,-23.61,55.46,20.61,-28.31,-24.87,-46.19,-24.43,35.68,12.56,-32.15
(주)강스템바이오텍,217730,2018/12,-19.02,-37.19,-24.39,72.37,69.45,-32.63,-19.43,-37.79,-23.75,12.84,8.23,-29.65
(주)강스템바이오텍,217730,2019/12,-23.56,-42.09,-30.34,49.86,152.95,-45.09,-24.78,-41.61,-28.25,-7.07,10.84,-41.38
(주)강스템바이오텍,217730,2020/12,-20.09,-31.88,-23.38,82.8,-165.3,-30.93,-19.09,-30.2,-20.13,11.44,-3.52,-26.53
(주)강스템바이오텍,217730,2021/12,-27.48,-33.62,-25.82,46.69,-9.74,-26.4,-24.49,-35.67,-23.51,21.68,0.15,-23.89
(주)강원에너지,114190,2011/11,16,26.29,13.97,25.07,-0.94,14.48,,,,,,
(주)강원에너지,114190,2012/12,13.01,24.85,10.05,19.75,-0.73,10.32,,,,,,
(주)강원에너지,114190,2013/12,4,9.57,4.85,23.18,-1.18,5.07,,,,,,
(주)강원에너지,114190,2014/12,2.33,2.33,1.61,21.2,-1.44,1.73,,,,,,
(주)강원에너지,114190,2015/12,1.19,1.68,1.2,17.05,-0.42,1.32,0.52,0.18,0.12,17.15,-0.49,0.13
(주)강원에너지,114190,2016/12,-1.19,-1.4,-1,16.29,-0.54,-1.14,-1.61,-1.99,-1.38,16.59,-0.68,-1.57
(주)강원에너지,114190,2017/12,-6.83,-12.47,-7.93,1.04,-0.22,-8.93,-6.56,-12.58,-7.57,1.05,-0.08,-8.77
(주)강원에너지,114190,2018/12,0.6,4.1,2.23,6.86,1.32,2.47,0.37,4.19,1.83,6.86,1.51,2.1
(주)강원에너지,114190,2019/12,-23.7,-92.7,-46.24,-14.43,3.26,-54.32,-22.83,-94.77,-47.39,-14.43,3.74,-57.22
(주)강원에너지,114190,2020/12,-20.38,-69.99,-31.87,-4.85,0.01,-39.1,-20.6,-64.76,-28.75,-4.85,0.24,-35.59
(주)강원에너지,114190,2021/12,5.14,25.31,15.55,11.23,0.4,16.77,,,,,,
(주)고려시멘트,198440,2014/12,,,,,,,,,,,,
(주)고려시멘트,198440,2015/12,,,,,,,,,,,,
(주)고려시멘트,198440,2016/12,,,,,,,,,,,,
(주)고려시멘트,198440,2017/12,2.6,1.3,0.87,13.33,-0.15,1.16,,,,,,
(주)고려시멘트,198440,2018/12,3.15,5.67,3.82,14.77,-0.49,5.02,,,,,,
(주)고려시멘트,198440,2019/12,-0.36,3.88,2.67,7.5,-0.22,3.46,,,,,,
(주)고려시멘트,198440,2020/12,3.53,4.92,3.67,11.61,-0.06,4.62,,,,,,
(주)고려시멘트,198440,2021/12,2.82,4.43,3.54,10.06,-0.14,4.14,,,,,,
(주)고바이오랩,348150,2019/12,,,,,,,,,,,,
(주)고바이오랩,348150,2020/12,-18.35,-104.03,-101.15,57.54,4.15,-101.78,-21.09,-99.43,-94.08,57.54,6.65,-94.12
(주)고바이오랩,348150,2021/12,-14.17,-24.7,-22.42,65.98,-21.48,-23.39,-19.95,-21.07,-18.78,65.98,-12,-19.42
(주)고영테크놀러지,098460,2011/12,25.05,26.45,21.19,57.18,-0.53,22.56,23.87,25.06,19.83,57.08,-0.49,20.57
(주)고영테크놀러지,098460,2012/12,21.43,19.21,15.61,54.11,-0.6,16.63,22.53,19.91,15.99,57.02,-0.55,16.59
(주)고영테크놀러지,098460,2013/12,15.85,16.09,13.21,53.1,-0.6,14.01,14.96,15.35,12.42,55.34,-0.54,12.89
(주)고영테크놀러지,098460,2014/12,21.07,20.86,17.31,54.71,-0.49,18.47,21.44,20.68,16.84,57.81,-0.45,17.71
(주)고영테크놀러지,098460,2015/12,17.33,18.48,15.41,58.89,-0.39,16.46,15.6,18.99,15.66,61,-0.37,16.7
(주)고영테크놀러지,098460,2016/12,17.51,19.28,15.83,60.08,-0.29,16.66,18.75,20.61,16.79,62.83,-0.25,17.83
(주)고영테크놀러지,098460,2017/12,22.75,17.93,14.45,61.02,-0.18,15.22,21.86,16.76,13.36,64.65,-0.17,14.19
(주)고영테크놀러지,098460,2018/12,19.02,21.53,17.47,59.92,-0.4,18.37,18.99,21.86,17.47,62.5,-0.47,18.54
(주)고영테크놀러지,098460,2019/12,13.63,14.42,11.8,61.05,-0.64,12.42,11.4,12.59,10.11,63.58,-0.57,10.77
(주)고영테크놀러지,098460,2020/12,4.44,2.95,2.44,59.69,-0.62,2.72,5.21,3.74,3.01,63.01,-0.51,3.41
(주)고영테크놀러지,098460,2021/12,13.07,14.35,11.53,61.59,-0.23,12.76,11.23,14.12,10.75,63.57,-0.19,11.44
(주)골드앤에스,035290,2011/12,3.07,4.97,2.43,30.52,0.96,2.77,2.82,4.57,2.19,31.52,1.03,2.48
(주)골드앤에스,035290,2012/12,-4.85,-24.69,-12.39,28.28,1.65,-14.4,-4.73,-26.93,-13.11,29.34,1.68,-14.68
(주)골드앤에스,035290,2013/12,-11.64,-90.82,-38.28,27.93,2.43,-45.33,-12.56,-86.53,-32.57,28.88,4.03,-34.28
(주)골드앤에스,035290,2014/12,-7.32,-85.29,-25.42,26.24,4.48,-31.59,-6.29,-90.29,-19.02,25.04,6.92,-19.51
(주)골드앤에스,035290,2015/12,4.05,-78.06,-35.81,29.98,2.35,-46.09,3.24,-76.1,-26.91,31.53,2.4,-29.93
(주)골드앤에스,035290,2016/12,1.86,2.67,1.85,39.37,0.82,2.6,1.88,2.65,1.83,41.19,0.89,2.57
(주)골드앤에스,035290,2017/12,-20.91,-59.27,-45.69,35.79,0.5,-68.18,-20.61,-57.72,-44.5,37.49,0.55,-67.36
(주)골드앤에스,035290,2018/12,-15.33,-30,-13.61,49.91,10.63,-17.91,-15.65,-32.3,-14.69,49.25,10.63,-19.45
(주)골드앤에스,035290,2019/12,-24.39,0,-84.97,17.66,61.86,-121.49,-24.39,-572.47,-84.97,17.66,61.86,-121.49
(주)골드앤에스,035290,2020/12,-12.76,0,8.91,74.8,57.44,15.56,-12.76,35.13,8.91,74.8,57.44,15.56
(주)골드앤에스,035290,2021/12,5.8,5.18,3.3,34.44,2.49,3.95,5.8,5.21,3.3,34.44,2.49,3.95
(주)골드퍼시픽,038530,2011/12,6.82,4.62,3.92,40.94,-2.56,4.02,,,,,,
(주)골드퍼시픽,038530,2012/12,2.54,1.14,0.89,30.08,0.33,0.89,,,,,,
(주)골드퍼시픽,038530,2013/12,-18.5,-42.23,-28.01,-17.48,3.78,-30.03,-18.22,-57.94,-27.85,-14.99,3.84,-29.34
(주)골드퍼시픽,038530,2014/12,-19.14,-42.96,-23.4,-66.74,13.08,-29.22,-13.87,-48.56,-17.62,-8.92,5.93,-18.35
(주)골드퍼시픽,038530,2015/12,-27.59,-67.67,-42.15,-36.85,9.03,-55.48,-23.38,-55.42,-28.97,-5.61,4.17,-33.01
(주)골드퍼시픽,038530,2016/12,-44.15,-212.98,-121.36,15.35,4.98,-152.87,,,,,,
(주)골드퍼시픽,038530,2017/12,4.98,-26.61,-5.12,60.47,29.36,-6.4,,,,,,
(주)골드퍼시픽,038530,2018/12,-1.59,-34.42,-13.72,74.76,22.44,-19.91,-2.39,-21.81,-11.82,75.32,22.01,-17.96
(주)골드퍼시픽,038530,2019/12,-6.21,-153.58,-57.34,29.09,26.35,-115.42,,,,,,
(주)골드퍼시픽,038530,2020/12,0.95,-3.71,-2.08,38.09,22.06,-3.88,,,,,,
(주)골드퍼시픽,038530,2021/12,-6.02,-31.72,-24.52,22.23,9.76,-33.76,,,,,,
(주)골프존,215000,2015/12,,,,,,,,,,,,
(주)골프존,215000,2016/12,24.75,30.99,20.22,61.6,-0.14,23.7,24.18,30.3,19.44,59.7,-0.16,21.14
(주)골프존,215000,2017/12,16.09,50.82,36.26,64.09,-0.46,41.06,16.96,51.19,35.96,65.5,-0.43,38.22
(주)골프존,215000,2018/12,11.79,11.44,8.78,59.71,-0.63,9.81,11.09,10.63,8.04,60.96,-0.61,8.47
(주)골프존,215000,2019/12,12.94,9.78,7.04,59.65,-0.45,8.02,11.4,8.21,5.72,62,-0.37,6.09
(주)골프존,215000,2020/12,15.8,16.74,11.13,59.34,0.01,12.61,15.17,18.02,11.03,62.52,0.08,11.75
(주)골프존,215000,2021/12,26.34,28.68,18.52,61.05,-0.12,21.18,25.31,29.79,17.97,64.8,-0.03,19.03
(주)골프존뉴딘홀딩스,121440,2011/12,19.72,18.74,17.15,51.47,-3.24,20.16,19.23,18.23,16.42,53.49,-3.17,18.21
(주)골프존뉴딘홀딩스,121440,2012/12,16.68,19,16.28,56.67,-2.33,19.56,15.02,19.34,15.96,54.55,-1.91,17.64
(주)골프존뉴딘홀딩스,121440,2013/12,15.32,1.07,0.82,54.98,-1.98,1.01,13.66,0.67,0.48,48.79,-1.06,0.55
(주)골프존뉴딘홀딩스,121440,2014/12,17.23,14.11,10.81,55.77,-2.13,14.94,14.63,17.4,11.32,48.94,-0.01,13.57
(주)골프존뉴딘홀딩스,121440,2015/12,-2.36,173.6,151.84,73.75,-19.68,333.25,-1.22,168.4,113.92,33.7,2.22,150.93
(주)골프존뉴딘홀딩스,121440,2016/12,-0.97,-3.83,-3.53,98.15,-12.03,-12.52,4.84,0.75,0.38,48.12,2.11,0.56
(주)골프존뉴딘홀딩스,121440,2017/12,-1.24,-4.41,-3.97,97.1,-9.11,-13.72,2.43,-4.2,-2.85,47.15,2.5,-4.21
(주)골프존뉴딘홀딩스,121440,2018/12,-2,-1.59,-1.39,96.09,-7.61,-5.2,0.15,-1.45,-0.98,42.07,2.8,-1.46
(주)골프존뉴딘홀딩스,121440,2019/12,-3.26,-6.49,-5.51,5.71,-0.08,-24.48,-0.47,-6.89,-4.49,38.58,3.97,-6.65
(주)골프존뉴딘홀딩스,121440,2020/12,6.57,5.92,4.95,92.85,-0.39,25.51,3.82,6.14,3.62,39.78,2.76,7.14
(주)골프존뉴딘홀딩스,121440,2021/12,9.46,25.15,21.19,97.34,0.8,135.33,8.44,25.23,15.66,42.06,1.74,53.28
(주)공구우먼,366030,2017/12,,,,,,,,,,,,
(주)공구우먼,366030,2018/12,,,,,,,,,,,,
(주)공구우먼,366030,2019/12,,,,,,,,,,,,
(주)공구우먼,366030,2020/12,22.43,20.45,18.12,41.61,-0.08,19.76,,,,,,
(주)공구우먼,366030,2021/12,37.19,36.23,31.56,45,-0.15,33.7,,,,,,
(주)광림,014200,2011/12,5.35,4.63,2.63,16.17,1.04,3,,,,,,
(주)광림,014200,2012/12,1.5,0.98,0.67,12.67,0.71,0.76,,,,,,
(주)광림,014200,2013/12,3.46,2.54,1.7,13.53,-0.07,1.92,,,,,,
(주)광림,014200,2014/12,1.72,1.74,1.03,14.56,1.04,1.34,0.89,1.09,-0.1,24.19,1.02,-0.1
(주)광림,014200,2015/12,1,12.54,6.92,24.86,1,11.4,,,,,,
(주)광림,014200,2016/12,0.12,0.51,0.29,14.09,0.63,0.54,0.07,-1.92,-0.83,14.09,0.63,-1.13
(주)광림,014200,2017/12,0.88,64.62,33.05,15.38,0.22,47.74,-5.65,-15.47,-10.79,2.98,2.56,-14.86
(주)광림,014200,2018/12,0.73,-39.19,-19.24,17.2,0.38,-25.67,-0.53,-26.58,-14.37,10.29,3.05,-20.34
(주)광림,014200,2019/12,1.78,-75.18,-31.77,15.69,1.15,-49,-4.99,-7.84,-6.36,7.47,2.81,-9.06
(주)광림,014200,2020/12,3.84,-9.63,-4.7,17.14,5.33,-10.62,3.81,-31.28,-10.26,14.95,4.4,-13.63
(주)광림,014200,2021/12,5.57,-5.52,-3.83,18.55,2.76,-10.34,4.69,-15.63,-9.57,15.67,5.77,-12.4
(주)광무,029480,2011/12,-11.18,-92.94,-50.54,19.74,6.55,-83.52,-17.82,-131.02,-66,18.36,6.54,-84.74
(주)광무,029480,2012/12,-7.69,-35.22,-20.7,17.79,2.32,-34.83,-10.36,-36.23,-19.16,18.02,2.28,-27.9
(주)광무,029480,2013/12,-15.49,-138.53,-74.46,-1.15,11.58,-133.41,-30.5,-150,-63,-10.17,5.97,-88.35
(주)광무,029480,2014/12,5.01,-8.66,-3.03,17.9,2.77,-4.47,,,,,,
(주)광무,029480,2015/12,-2.53,-33.57,-11.13,22.64,3.2,-16.03,,,,,,
(주)광무,029480,2016/12,5.15,1.21,0.38,17.7,2.22,0.5,,,,,,
(주)광무,029480,2017/12,0.69,-31.04,-11.55,18.74,2.47,-13.82,,,,,,
(주)광무,029480,2018/12,-2.44,-41.94,-17.74,17.33,1.53,-21.02,-4.7,-51.67,-18.01,22.99,1.25,-18.95
(주)광무,029480,2019/12,-5.43,-39.35,-15.09,17.31,2.88,-18.62,-6.58,-38.68,-14.02,40.05,1.9,-15.46
(주)광무,029480,2020/12,-6.51,-82.5,-40.63,11.1,6.26,-56.49,-7.02,-82.72,-37.98,11.08,6.28,-52.13
(주)광무,029480,2021/12,-0.52,-2.35,-1.29,18.37,2.26,-1.85,-1.02,-2.02,-1.06,17.79,2.29,-1.45
(주)구스앤홈,329050,2017/12,,,,,,,,,,,,
(주)구스앤홈,329050,2018/12,,,,,,,,,,,,
(주)구스앤홈,329050,2019/12,,,,,,,,,,,,
(주)구스앤홈,329050,2020/12,,,,,,,,,,,,
(주)구영테크,053270,2011/12,5.69,3.61,1.08,18.59,4.79,1.51,3.53,-1.4,-0.44,12.25,3.38,-0.47
(주)구영테크,053270,2012/12,4.74,4.37,1.22,18.33,4.94,1.73,4.82,4.49,1.05,13.82,3.39,1.14
(주)구영테크,053270,2013/12,4.31,3.79,1.1,17.26,3.79,1.55,4.83,5.74,1.4,12.89,2.9,1.52
(주)구영테크,053270,2014/12,2.79,3.64,1.33,17.12,2.73,1.88,3.57,4.75,1.47,13.18,2.19,1.57
(주)구영테크,053270,2015/12,3.46,7.41,3.13,16.46,1.63,4.45,3.87,7.74,2.62,14.79,1.72,2.83
(주)구영테크,053270,2016/12,3.89,8.66,3.7,18.49,0.86,5.51,2.64,4.64,1.55,15.19,1.41,1.72
(주)구영테크,053270,2017/12,2.44,2.65,1,16.91,1.06,1.64,3.22,2.61,0.77,15.17,1.49,0.93
(주)구영테크,053270,2018/12,1.15,7.45,2.74,14.96,2.29,4.2,2.76,9.65,3.04,11.4,1.82,3.6
(주)구영테크,053270,2019/12,1.75,2.67,1.08,14.34,2.13,1.47,2.56,4.8,1.66,9.61,1.69,1.8
(주)구영테크,053270,2020/12,1.63,1.54,0.62,15.14,1.89,0.83,1.4,1.03,0.35,9.43,1.41,0.38
(주)구영테크,053270,2021/12,2.06,4.73,1.89,15.54,1.39,2.44,1.84,4.29,1.44,10.49,1.22,1.53
(주)국보디자인,066620,2011/12,11.05,14.51,8.6,15.2,-1.44,10.9,10.8,13.29,7.63,15.72,-0.97,9.69
(주)국보디자인,066620,2012/12,12.52,16.17,10.03,15.98,-1.61,11.93,12.13,15.67,9.57,16.02,-1.43,11.43
(주)국보디자인,066620,2013/12,9.72,15.29,8.77,12.94,-1.12,10.26,10.66,17.76,9.91,13.45,-1.07,11.57
(주)국보디자인,066620,2014/12,7.96,11.67,6.38,13.8,-0.95,7.53,10.27,15.64,8.42,14.9,-0.94,9.86
(주)국보디자인,066620,2015/12,5.37,9.52,5.46,11.77,-0.83,6.48,9.37,13.66,7.89,13.28,-0.78,9.35
(주)국보디자인,066620,2016/12,9.54,15.29,8.51,13.48,-0.62,9.98,7.02,12.62,7.17,12.33,-0.76,8.31
(주)국보디자인,066620,2017/12,15.52,16.2,9.15,16.49,-0.44,10.44,14.38,14.33,8.26,16.98,-0.52,9.23
(주)국보디자인,066620,2018/12,10.46,14.24,8.81,14.47,-0.75,10.08,9.7,13.35,8.17,14.77,-0.73,9.17
(주)국보디자인,066620,2019/12,5.84,8.82,5.29,10.94,-0.83,5.9,5.81,13.75,8.02,11.99,-0.86,8.79
(주)국보디자인,066620,2020/12,9.62,12.47,7.39,14.75,-0.42,11.72,10.47,13.89,8.17,15.87,-0.55,12.34
(주)국보디자인,066620,2021/12,7.81,9.47,5.97,13.94,-0.16,16.31,8.38,9.93,6.36,15.05,-0.25,15.72
(주)국순당,043650,2011/12,2.92,3.25,2.9,42.83,-1.39,3.41,2.68,2.99,2.64,42.79,-1.4,3.07
(주)국순당,043650,2012/12,3.42,2.84,2.58,44.76,-1.09,3.19,2.69,3.46,2.95,44.83,-1.17,3.53
(주)국순당,043650,2013/12,0.58,1.26,1.15,42.18,-1.07,1.46,0.67,2.89,2.68,42.35,-1.17,3.18
(주)국순당,043650,2014/12,0.43,1.07,0.98,39.2,-1,1.27,0.5,1.73,1.59,39.38,-0.72,1.91
(주)국순당,043650,2015/12,-4.06,-2.6,-2.37,35.11,-2.53,-3.22,-3.78,-1.93,-1.63,35.41,-2.29,-2.03
(주)국순당,043650,2016/12,-2.7,-1.2,-1.1,40.08,-3.55,-1.59,-3.02,-1.39,-1.29,39.7,-1.44,-1.7
(주)국순당,043650,2017/12,-1.75,5.25,4.82,38.53,-32.39,7.61,-1.87,4.88,4.26,37.88,-2.86,6.42
(주)국순당,043650,2018/12,-1.28,7.68,7.06,38.98,-39.55,11.97,-1.25,-1.26,-1.24,36.99,-1.83,-2.04
(주)국순당,043650,2019/12,-2.52,0.29,0.27,35.82,-5.13,0.49,-2.43,-2.47,-3.37,27.85,0.18,-5.32
(주)국순당,043650,2020/12,2.33,7.57,7.07,44.82,-9.42,14.35,1.84,8.89,7.5,45.21,-2.16,12.61
(주)국순당,043650,2021/12,3.55,7.77,7.18,47.32,-4.32,15.92,3.31,9.34,8.42,48.11,-1.16,16.66
(주)국영지앤엠,006050,2011/12,-5.47,-5.18,-3.25,-0.74,-0.13,-7.66,,,,,,
(주)국영지앤엠,006050,2012/12,-2.46,12.28,7.97,1.13,0.47,13.27,,,,,,
(주)국영지앤엠,006050,2013/12,2.16,2.07,1.55,4.95,0.6,1.73,,,,,,
(주)국영지앤엠,006050,2014/12,2.6,0.85,0.65,5.84,0.23,0.71,,,,,,
(주)국영지앤엠,006050,2015/12,-1.69,-1.11,-0.87,1.23,-0.24,-0.93,,,,,,
(주)국영지앤엠,006050,2016/12,0.38,0.77,0.6,3.62,-0.16,0.63,,,,,,
(주)국영지앤엠,006050,2017/12,2.14,2.78,2.17,5.03,-0.06,2.31,,,,,,
(주)국영지앤엠,006050,2018/12,-1.46,-0.68,-0.56,1.7,-0.08,-0.6,,,,,,
(주)국영지앤엠,006050,2019/12,1.54,2.08,1.69,4.51,-0.07,1.8,,,,,,
(주)국영지앤엠,006050,2020/12,-2.97,-2.51,-1.88,0.35,0.06,-2.01,,,,,,
(주)국영지앤엠,006050,2021/12,-9.89,-10,-7.13,-7.98,0.17,-7.93,,,,,,
(주)국전약품,307750,2018/12,,,,,,,,,,,,
(주)국전약품,307750,2019/12,,,,,,,,,,,,
(주)국전약품,307750,2020/12,10.02,-10.29,-5.74,18.01,0.67,-6.13,,,,,,
(주)국전약품,307750,2021/12,7.45,7,4.9,21.02,0.09,5.51,,,,,,
(주)그래디언트,035080,2011/12,-1.76,-1.4,-1.1,0,-79.66,-3.51,-2.72,-2.81,-1.87,34.12,-2.11,-2.72
(주)그래디언트,035080,2012/12,-0.14,4.23,3.15,0,46.19,58.23,1.85,3.52,1.68,34.16,1.63,3.36
(주)그래디언트,035080,2013/12,0.06,-2.37,-2.02,0,19.14,-62.65,4.08,1.94,2.03,10.46,0.11,2.46
(주)그래디언트,035080,2014/12,0.03,0.15,0.13,0,4.68,6.69,2.9,2,1.79,9.76,0,1.83
(주)그래디언트,035080,2015/12,1.25,3.08,2.81,0,1.01,155.93,3.24,2.87,2.14,10.96,-0.04,2.19
(주)그래디언트,035080,2016/12,2.44,-9.89,-9.22,0,2.85,-659.63,2.37,-14.59,-1.87,10.99,0.03,-1.91
(주)그래디언트,035080,2017/12,1.61,-15.25,-14.63,0,-9.47,-807.28,1.54,-20.37,-3.28,10.89,-0.05,-3.36
(주)그래디언트,035080,2018/12,1.74,1.35,1.29,0,-1.78,59.11,1.1,-2.8,-0.23,10.32,-0.06,-0.24
(주)그래디언트,035080,2019/12,1.12,1.28,1.22,0,-11.63,74.29,2.52,-1.6,0.36,11.1,-0.04,0.38
(주)그래디언트,035080,2020/12,-0.42,0.25,0.18,48.58,-0.65,0.63,-0.66,-10.72,-1.53,8.44,0,-1.61
(주)그래디언트,035080,2021/12,1.81,-5.21,-3.01,100,-12.65,-12.33,0.15,-8.27,-0.28,4.21,0.01,-0.34
(주)그리티,204020,2011/12,,,,,,,,,,,,
(주)그리티,204020,2012/12,,,,,,,,,,,,
(주)그리티,204020,2013/12,,,,,,,,,,,,
(주)그리티,204020,2014/12,21.42,16.42,14.31,61.76,-0.41,14.67,42.33,34.57,27.68,60.97,-0.24,27.83
(주)그리티,204020,2015/12,13.45,12.77,11.24,59.5,-0.39,11.61,13.39,13.51,10.98,58.61,-0.24,11.02
(주)그리티,204020,2016/12,11.05,10.61,9.24,59.26,-0.32,9.82,7.74,7.49,5.47,58.44,-0.13,5.48
(주)그리티,204020,2017/12,16.27,15.19,13.12,60.36,-0.25,14.8,14.7,15.18,11.18,59.56,-0.02,11.6
(주)그리티,204020,2018/12,12.47,9.37,8.08,60.32,-0.37,9.18,9.52,7.9,5.69,58.91,-0.08,6
(주)그리티,204020,2019/12,5.1,3.53,3.03,55.01,-0.36,3.49,3.1,2.43,1.66,54.17,-0.03,1.74
(주)그리티,204020,2020/12,3.06,2.08,1.82,52.82,-0.21,2.24,2.39,1.31,0.93,52.8,0.01,1
(주)그리티,204020,2021/12,-8.7,-15.2,-13.39,49.79,-0.16,-17.52,-8.69,-9.88,-8.11,51.66,0.06,-9.09
(주)그린플러스,186230,2011/12,,,,,,,,,,,,
(주)그린플러스,186230,2012/12,,,,,,,,,,,,
(주)그린플러스,186230,2013/12,,,,,,,,,,,,
(주)그린플러스,186230,2014/12,,,,,,,,,,,,
(주)그린플러스,186230,2015/12,,,,,,,,,,,,
(주)그린플러스,186230,2016/12,,,,,,,,,,,,
