,회사명,거래소코드,회계년도,누적수익성비율,TMD,abs(영업현금흐름-당기순이익)/매출액,순운전자본비율,금융비용부담률,WW지수,target_3,Z,proba,정리
31,(주)강스템바이오텍,217730,2017,-0.758363525,0.111825757,0.096901347,40,12.56,-79.26769172,0,-8.453933419,0.021301532,0
36,(주)강원에너지,114190,2012,0.287783728,1.138286253,0.113833814,30.82,-0.73,-60.60955154,0,-6.698562629,0.123116482,0
37,(주)강원에너지,114190,2013,0.399994478,0.951080052,0.257673556,48.31,-1.18,-55.39032009,0,-5.988960626,0.250000197,0
46,(주)고려시멘트,198440,2018,0.283164885,0.494360653,0.034007181,15.96,-0.49,-57.217516,0,-6.443457448,0.158836979,0
47,(주)고려시멘트,198440,2019,0.299261627,0.39242055,0.007529398,14.64,-0.22,-60.70374333,0,-7.181878071,0.075966119,0
48,(주)고려시멘트,198440,2020,0.363756958,0.237101868,0.050126099,24.32,-0.06,-57.42216721,0,-6.816851439,0.109396562,0
49,(주)고려시멘트,198440,2021,0.314689031,0.240678322,0.13268771,25.21,-0.14,-58.93216856,0,-6.831644224,0.107791924,0
51,(주)고영테크놀러지,98460,2012,0.581324019,0.079292984,0.035459283,60.23,-0.55,-60.04322832,0,-8.337286453,0.023936383,0
52,(주)고영테크놀러지,98460,2013,0.591449501,0.090415895,0.005808602,63.72,-0.54,-57.476705,0,-8.012935452,0.033104159,0
53,(주)고영테크놀러지,98460,2014,0.640417725,0.045011121,0.024446934,62.22,-0.45,-60.4916226,0,-8.572327445,0.01892358,0
54,(주)고영테크놀러지,98460,2015,0.692209395,0.051947726,0.047716307,63.47,-0.37,-59.29133617,0,-8.378109478,0.022979124,0
55,(주)고영테크놀러지,98460,2016,0.691939873,0.061268628,0.002846432,65.3,-0.25,-59.19500833,0,-8.487468317,0.020599177,0
56,(주)고영테크놀러지,98460,2017,0.763599682,0.038871979,0.033402338,62.9,-0.17,-56.42155047,0,-7.979790439,0.034219401,0
57,(주)고영테크놀러지,98460,2018,0.679383213,0.047104467,0.086247791,67.04,-0.47,-63.16617562,0,-9.027687527,0.012002535,0
58,(주)고영테크놀러지,98460,2019,0.687031272,0.04271084,0.001765313,61.34,-0.57,-63.18363612,0,-9.1728046,0.010381414,0
59,(주)고영테크놀러지,98460,2020,0.700618692,0.039199588,0.15948648,53.62,-0.51,-61.07182769,0,-8.288773387,0.02512594,0
60,(주)고영테크놀러지,98460,2021,0.663322736,0.054040344,0.011702338,60.99,-0.19,-63.78612335,0,-9.181434077,0.010292222,0
81,(주)골프존,215000,2016,0.255340209,0.164149653,0.005987168,17.74,-0.16,-60.47241779,0,-7.277368954,0.069052408,0
82,(주)골프존,215000,2017,0.462250465,0.228425867,0.004922416,42.84,-0.43,-62.22485667,0,-8.258716952,0.025892402,0
83,(주)골프존,215000,2018,0.482437081,0.281726733,0.062731184,35.79,-0.61,-59.91838365,0,-7.592675465,0.050387644,0
84,(주)골프존,215000,2019,0.406853132,0.260291912,0.09427653,6.61,-0.37,-62.67207078,0,-7.431411103,0.059200038,0
85,(주)골프존,215000,2020,0.415261344,0.32588521,0.167172489,10.12,0.08,-64.78088167,0,-7.61726856,0.049164172,0
86,(주)골프존,215000,2021,0.440768319,0.174757558,0.135425657,23.21,-0.03,-66.57146489,0,-8.36998951,0.02316643,0
87,(주)골프존뉴딘홀딩스,121440,2012,0.478770546,0.167338391,0.041725794,25.77,-1.91,-65.76466669,0,-8.703719156,0.016593986,0
88,(주)골프존뉴딘홀딩스,121440,2013,0.388213345,0.287263959,0.166046789,10.91,-1.06,-65.06877594,0,-7.760723926,0.042596644,0
89,(주)골프존뉴딘홀딩스,121440,2014,0.409577225,0.29625908,0.11742359,-2.06,-0.01,-67.0538667,0,-7.973282834,0.034442737,0
91,(주)골프존뉴딘홀딩스,121440,2016,0.286912128,0.699989184,0.053519679,-5.56,2.11,-67.54479109,0,-7.574207396,0.051326371,0
92,(주)골프존뉴딘홀딩스,121440,2017,0.253387636,1.121531883,0.095486931,-0.45,2.5,-64.16054192,0,-6.59453558,0.136595363,0
93,(주)골프존뉴딘홀딩스,121440,2018,0.231671664,1.829371418,0.056631859,-14.11,2.8,-64.83775159,0,-6.083691504,0.227455999,0
94,(주)골프존뉴딘홀딩스,121440,2019,0.183466965,2.167750192,0.176922808,5.2,3.97,-64.36492766,0,-5.63147403,0.357049544,0
95,(주)골프존뉴딘홀딩스,121440,2020,0.214058351,1.374909567,0.009913501,9.23,2.76,-65.66171591,0,-6.997444206,0.09133805,0
96,(주)골프존뉴딘홀딩스,121440,2021,0.314869419,0.883736018,0.27473443,-8.53,1.74,-66.23975691,0,-6.68316123,0.125024936,0
127,(주)국보디자인,66620,2012,0.472716897,0.692411765,0.057954993,43.1,-1.43,-58.80643981,0,-7.306843746,0.06704815,0
128,(주)국보디자인,66620,2013,0.411572923,0.82249505,0.057253286,33.87,-1.07,-59.85147943,0,-7.152809215,0.078205024,0
129,(주)국보디자인,66620,2014,0.466412144,0.565303922,0.01232608,40.03,-0.94,-57.36424381,0,-7.149213697,0.078486497,0
130,(주)국보디자인,66620,2015,0.497384648,0.399184801,0.008172039,37.19,-0.78,-59.37838359,0,-7.612960606,0.049376321,0
131,(주)국보디자인,66620,2016,0.490426123,0.554449612,0.009771114,39.14,-0.76,-59.1382855,0,-7.485678383,0.056074781,0
132,(주)국보디자인,66620,2017,0.54386125,0.474302368,0.016060859,45.03,-0.52,-59.27422327,0,-7.694909542,0.04549311,0
133,(주)국보디자인,66620,2018,0.577255095,0.661054726,0.044053331,45.89,-0.73,-59.89743213,0,-7.690982341,0.04567204,0
134,(주)국보디자인,66620,2019,0.518405501,0.775374389,0.037411805,45.16,-0.86,-59.34591963,0,-7.452954874,0.057939017,0
135,(주)국보디자인,66620,2020,0.517546466,0.781848485,0.049732941,3.57,-0.55,-62.23076757,0,-7.242390064,0.071508767,0
136,(주)국보디자인,66620,2021,0.485220398,0.74831746,0.022963954,4.54,-0.25,-63.67662325,0,-7.539521549,0.053136943,0
137,(주)국순당,43650,2012,0.757302246,0.137179713,0.010901616,35.08,-1.17,-57.94072973,0,-7.867230572,0.038294714,0
138,(주)국순당,43650,2013,0.741338285,0.221977485,0.016587009,39.81,-1.17,-59.33379774,0,-8.102480538,0.030269548,0
139,(주)국순당,43650,2014,0.752391024,0.196167583,0.00579117,39.12,-0.72,-57.6753203,0,-7.817748562,0.040236497,0
140,(주)국순당,43650,2015,0.735636323,0.16092183,0.070761722,39.93,-2.29,-59.70761204,0,-8.153440687,0.028766085,0
141,(주)국순당,43650,2016,0.731949954,0.153191192,0.041649331,34.96,-1.44,-60.36386527,0,-8.199031567,0.027484412,0
142,(주)국순당,43650,2017,0.680293146,0.203686755,0.19293829,30.73,-2.86,-60.03512474,0,-7.698031984,0.045351346,0
143,(주)국순당,43650,2018,0.747497056,0.31639322,0.043206062,25.62,-1.83,-60.56260923,0,-8.026383673,0.032662091,0
144,(주)국순당,43650,2019,0.672165365,0.818856293,0.038767435,17.82,0.18,-62.24217035,0,-7.63099101,0.048494452,0
145,(주)국순당,43650,2020,0.784268406,0.222989059,0.06657601,25.27,-2.16,-61.39957912,0,-8.248175152,0.026166726,0
146,(주)국순당,43650,2021,0.789755395,0.149301135,0.242099937,25.17,-1.16,-61.71746198,0,-7.839862413,0.039356825,0
149,(주)국영지앤엠,6050,2014,0.336582141,0.392735631,0.055154199,25.73,0.23,-54.01183184,0,-6.054425946,0.234195168,0
154,(주)국영지앤엠,6050,2019,0.305038088,0.231465384,0.047484695,28.83,-0.07,-59.06595436,0,-7.115676874,0.081161147,0
157,(주)국전약품,307750,2021,0.148127378,0.044365574,0.011669049,51.47,0.09,-56.13753601,0,-6.939044873,0.096825643,0
158,(주)그래디언트,35080,2012,0.401179754,0.808441111,0.109368705,-3.91,1.63,-65.70637845,0,-7.252380547,0.07079842,0
159,(주)그래디언트,35080,2013,0.189350167,1.306489858,0.018982284,16.15,0.11,-74.63768169,0,-8.912850499,0.013462935,0
160,(주)그래디언트,35080,2014,0.161758449,1.84784058,0.0639398,13.76,0,-70.51810561,0,-7.642262474,0.047951178,0
161,(주)그래디언트,35080,2015,0.151498408,1.829564622,0.017043136,12.8,-0.04,-69.56293162,0,-7.574300893,0.051321575,0
162,(주)그래디언트,35080,2016,0.121513626,4.163704504,0.040075813,12.97,0.03,-69.48249799,0,-5.948055281,0.260411396,0
163,(주)그래디언트,35080,2017,0.097041728,4.6085123,0.070341357,14.05,-0.05,-69.91259605,0,-5.651537968,0.349981935,0
167,(주)그래디언트,35080,2021,0.058396173,2.420498727,0.020341308,14.7,0.01,-68.64677246,0,-6.919143889,0.098769948,0
168,(주)그리티,204020,2019,0.43189513,0.319686442,0.02640559,70.87,-0.03,-55.90392873,0,-7.388817564,0.061774457,0
169,(주)그리티,204020,2020,0.460044681,0.254070359,0.019593073,70.56,0.01,-56.2905211,0,-7.548055692,0.052685632,0
170,(주)그리티,204020,2021,0.378230978,0.374479599,0.065939929,55.93,0.06,-48.33204916,0,-5.574260241,0.377993924,0
173,(주)글로벌스탠다드테크놀로지,83450,2012,0.488379006,0.508701319,0.046334012,29.02,-0.12,-57.91906191,0,-6.989530522,0.09206307,0
174,(주)글로벌스탠다드테크놀로지,83450,2013,0.498762515,0.414697433,0.053887853,32.91,-0.08,-54.4966288,0,-6.490352994,0.151571219,0
175,(주)글로벌스탠다드테크놀로지,83450,2014,0.538801235,0.36588994,0.047238087,38.51,-0.18,-56.66671049,0,-7.080494441,0.084064976,0
176,(주)글로벌스탠다드테크놀로지,83450,2015,0.606884578,0.238787095,0.012378143,35.78,-0.28,-49.10379171,0,-5.948922698,0.260186196,0
178,(주)글로벌스탠다드테크놀로지,83450,2017,0.598119159,0.20964743,0.013719409,35.36,-0.02,-56.18899634,0,-7.197880807,0.074761031,0
179,(주)글로벌스탠다드테크놀로지,83450,2018,0.662105935,0.464579019,0.061278398,35.78,-0.08,-50.85140591,0,-6.053227972,0.234475238,0
180,(주)글로벌스탠다드테크놀로지,83450,2019,0.641972329,0.351858675,0.007965191,42.35,-0.01,-61.31205644,0,-8.211431792,0.027145796,0
181,(주)글로벌스탠다드테크놀로지,83450,2020,0.710306269,0.175328128,0.024568552,47.11,-0.1,-58.48551279,0,-7.952721856,0.035157992,0
182,(주)글로벌스탠다드테크놀로지,83450,2021,0.662063682,0.156436576,0.044070847,44.54,-0.06,-62.87918658,0,-8.594798879,0.01850316,0
192,(주)금화피에스시,36190,2012,0.835613322,0.108460905,0.066695003,60.3,-2.23,-60.22951235,0,-8.749992218,0.015843745,0
193,(주)금화피에스시,36190,2013,0.745879159,0.127467271,0.079086455,47.51,-1.44,-60.08971938,0,-8.292839605,0.025024006,0
194,(주)금화피에스시,36190,2014,0.765358286,0.085091918,0.065289614,45.39,-1.04,-57.99174171,0,-7.939807039,0.035614833,0
195,(주)금화피에스시,36190,2015,0.725997608,0.189700855,0.00846294,45.94,-0.58,-61.56467368,0,-8.576458716,0.018845578,0
196,(주)금화피에스시,36190,2016,0.729310441,0.219035461,0.035439839,48.41,-0.52,-60.91697282,0,-8.412847852,0.022194747,0
197,(주)금화피에스시,36190,2017,0.743670107,0.184195804,0.128159897,50.37,-0.98,-59.96664381,0,-8.117965521,0.029804573,0
198,(주)금화피에스시,36190,2018,0.805672797,0.23490163,0.074354875,53.96,-1.03,-62.97630861,0,-8.906853992,0.013543897,0
199,(주)금화피에스시,36190,2019,0.816658561,0.238887006,0.022446105,51.57,-1.07,-60.32212982,0,-8.537946299,0.019585379,0
200,(주)금화피에스시,36190,2020,0.851292444,0.209249714,0.062574362,47.38,-0.86,-62.09471306,0,-8.737994106,0.016034955,0
201,(주)금화피에스시,36190,2021,0.866927269,0.17458922,0.025424616,45.76,-0.65,-62.95723465,0,-8.987804809,0.012490842,0
202,(주)기가레인,49080,2014,0.205034717,0.281670559,0.063341656,7.34,0.8,-58.21048269,0,-6.341169766,0.17591396,0
220,(주)까스텔바작,308100,2020,0.262788365,0.31033531,0.068866592,58.09,-0.06,-50.96935286,0,-5.968910179,0.255050489,0
231,(주)나노신소재,121600,2013,0.307727623,0.079529994,0.036617424,56.39,0.74,-48.78250442,0,-5.778775286,0.308296644,0
232,(주)나노신소재,121600,2014,0.341564475,0.087831945,0.094747019,60,0.24,-55.11071509,0,-6.906059535,0.100069479,0
233,(주)나노신소재,121600,2015,0.370573644,0.036733754,0.093324061,64.48,0.09,-58.98213378,0,-7.760886499,0.042589723,0
234,(주)나노신소재,121600,2016,0.415116514,0.040328777,0.015786145,69.68,-0.14,-55.56584401,0,-7.502153977,0.05515899,0
235,(주)나노신소재,121600,2017,0.458016726,0.032613413,0.059865259,64.93,-0.03,-56.92136036,0,-7.61315291,0.049366831,0
236,(주)나노신소재,121600,2018,0.480727051,0.057989091,0.071291866,64.1,-0.26,-56.5493854,0,-7.536499942,0.053297659,0
237,(주)나노신소재,121600,2019,0.504710778,0.044743208,0.124823594,67.9,-0.31,-57.2476246,0,-7.63327577,0.048383833,0
238,(주)나노신소재,121600,2020,0.482673569,0.035274399,0.14615448,55.61,-0.3,-56.44543344,0,-7.213458714,0.073606285,0
239,(주)나노신소재,121600,2021,0.478956527,0.028752934,0.051924872,55.5,0.04,-57.88998511,0,-7.681115316,0.046124709,0
248,(주)나노엔텍,39860,2020,0.204600966,0.031725095,0.100533234,54.19,-0.35,-49.51601314,0,-5.689125503,0.337114663,0
249,(주)나노엔텍,39860,2021,0.286766472,0.05065493,0.055024592,49.48,-0.28,-48.52246582,0,-5.64367085,0.352736393,0
257,(주)나스미디어,89600,2014,0.373992328,0.177615727,0.241936024,58.2,-4.28,-57.36506865,0,-7.246581064,0.071209914,0
258,(주)나스미디어,89600,2015,0.306400062,0.175110884,0.174302044,38.69,-1.61,-59.22733587,0,-7.14118773,0.079118461,0
259,(주)나스미디어,89600,2016,0.190372265,0.46124133,0.073559899,17.94,-0.54,-61.28761629,0,-7.005646169,0.090592639,0
260,(주)나스미디어,89600,2017,0.226950916,0.288546361,0.099812929,22.06,-0.31,-64.16629656,0,-7.666419152,0.046807251,0
261,(주)나스미디어,89600,2018,0.277834596,0.648199775,0.007419775,27.55,-1.01,-61.70674386,0,-7.436042078,0.058926679,0
262,(주)나스미디어,89600,2019,0.285190155,0.695639052,0.084892357,25.42,-0.32,-63.42093574,0,-7.440682772,0.058654012,0
263,(주)나스미디어,89600,2020,0.280976403,0.826339434,0.214500049,35.95,-1.02,-63.86316584,0,-7.326876225,0.065719247,0
264,(주)나스미디어,89600,2021,0.281496103,0.850052822,0.139979543,32.77,-0.78,-60.13051218,0,-6.75990208,0.115800017,0
275,(주)나이스디앤비,130580,2012,0.336533419,0.102126235,0.003059373,72.2,-3.7,-51.23729306,0,-6.925469003,0.0981478,0
276,(주)나이스디앤비,130580,2013,0.392267433,0.113334034,0.078348305,77.3,-3.34,-52.30791587,0,-7.050947816,0.086583688,0
277,(주)나이스디앤비,130580,2014,0.425683939,0.117172636,0.034012962,76.52,-3.05,-52.06129053,0,-7.126275107,0.080306212,0
278,(주)나이스디앤비,130580,2015,0.443783798,0.084068956,0.03466407,62.51,-2.12,-53.65137784,0,-7.159264915,0.077702173,0
279,(주)나이스디앤비,130580,2016,0.522117333,0.080988456,0.024907994,58.37,-1.58,-54.16355575,0,-7.276102669,0.069139843,0
280,(주)나이스디앤비,130580,2017,0.55941016,0.068373283,0.035002247,44.21,-1.13,-55.92483877,0,-7.363573116,0.063352769,0
281,(주)나이스디앤비,130580,2018,0.607589128,0.104672402,0.040525739,45.6,-1,-56.13729251,0,-7.442160509,0.058567452,0
282,(주)나이스디앤비,130580,2019,0.538105648,0.146103896,0.027880512,46.64,-0.88,-58.96760664,0,-7.868321234,0.038252986,0
283,(주)나이스디앤비,130580,2020,0.575256929,0.124677981,0.086464062,50.71,-0.72,-60.30387203,0,-8.078273772,0.031010986,0
284,(주)나이스디앤비,130580,2021,0.582175098,0.162905253,0.059616165,51.86,-0.63,-59.32704019,0,-7.966637955,0.034672287,0
286,(주)내츄럴엔도텍,168330,2014,0.51350346,0.019382876,0.083342065,25.08,-0.62,-48.2755489,0,-5.490906705,0.410716476,0
304,(주)네오셈,253590,2020,0.462331656,0.152949425,0.118610963,43.35,0.16,-58.31587442,0,-7.282300799,0.068712924,0
305,(주)네오셈,253590,2021,0.39018021,0.277991716,0.274854745,55.93,1.58,-53.78826099,0,-5.989556892,0.249851547,0
306,(주)네오오토,212560,2016,0.389827743,1.795824806,0.082828153,-2.02,0.65,-59.32891754,0,-5.625713167,0.359104986,0
307,(주)네오오토,212560,2017,0.408695398,1.477987782,0.084873956,0.61,0.67,-59.05069719,0,-5.842651996,0.289274635,0
309,(주)네오오토,212560,2019,0.445792955,1.727748269,0.097119265,3.75,0.66,-58.44612526,0,-5.643348083,0.352849861,0
310,(주)네오오토,212560,2020,0.458537869,1.55840298,0.098171048,2.04,0.48,-59.51970122,0,-5.946813078,0.260734237,0
311,(주)네오오토,212560,2021,0.495353312,1.105998462,0.073637258,11.26,0.33,-58.65789522,0,-6.356354984,0.173267441,0
312,(주)네오위즈,95660,2012,0.2731882,0.615689485,0.132713204,18.77,0.26,-59.78957424,0,-6.55205823,0.142514119,0
313,(주)네오위즈,95660,2013,0.431818944,0.544014878,0.10948119,11.14,0.24,-57.66633389,0,-6.370361398,0.17086162,0
314,(주)네오위즈,95660,2014,0.497618901,0.277790463,0.211570412,34.64,-0.51,-55.31158404,0,-6.387914248,0.167893671,0
315,(주)네오위즈,95660,2015,0.508388737,0.311032733,0.196957979,43.87,-0.54,-55.20483651,0,-6.549281631,0.142909807,0
316,(주)네오위즈,95660,2016,0.631856829,0.186479331,0.107779604,48.97,-0.7,-55.57978702,0,-7.183863847,0.075815532,0
317,(주)네오위즈,95660,2017,0.65204906,0.147549616,0.06450056,51.27,-0.98,-54.25108084,0,-7.165426728,0.077225228,0
318,(주)네오위즈,95660,2018,0.625651738,0.252824597,0.023648429,28.38,-0.86,-55.97856811,0,-7.097331321,0.082662593,0
319,(주)네오위즈,95660,2019,0.632516922,0.186087639,0.036837225,36.79,-0.25,-57.01353146,0,-7.390529223,0.061668876,0
320,(주)네오위즈,95660,2020,0.648296033,0.169280939,0.04902868,39.74,-0.36,-58.78981146,0,-7.767032545,0.042328878,0
321,(주)네오위즈,95660,2021,0.636806562,0.133032065,0.106952527,35.62,-0.47,-57.01955444,0,-7.253519739,0.07071787,0
322,(주)네오위즈홀딩스,42420,2012,0.121755396,2.285405046,0.122649471,21.3,-0.53,-60.27376822,0,-5.479563882,0.415382221,0
323,(주)네오위즈홀딩스,42420,2013,0.181091859,1.643160539,0.085214369,19.63,-0.73,-58.33861181,0,-5.711195612,0.329780275,0
324,(주)네오위즈홀딩스,42420,2014,0.28896884,0.813154201,0.022371723,36.77,-2.25,-56.93507517,0,-6.693917216,0.12368903,0
325,(주)네오위즈홀딩스,42420,2015,0.404617018,0.570027513,0.168419628,58.44,-2.96,-62.4970182,0,-8.042739466,0.032132392,0
326,(주)네오위즈홀딩스,42420,2016,0.389648229,0.371908008,0.114944124,55.11,-2.22,-57.26400229,0,-7.234854726,0.072049255,0
327,(주)네오위즈홀딩스,42420,2017,0.385696428,0.410844761,0.094415354,57.31,-2.73,-56.58049349,0,-7.207946551,0.074012834,0
328,(주)네오위즈홀딩스,42420,2018,0.389883371,0.739255735,0.012946344,41,-2.63,-57.73218179,0,-7.143157457,0.078962896,0
329,(주)네오위즈홀딩스,42420,2019,0.402532293,0.583535742,0.032396396,42.8,-0.46,-64.56947936,0,-8.301242247,0.024814671,0
330,(주)네오위즈홀딩스,42420,2020,0.408148989,0.662294502,0.0822587,41.92,-0.48,-60.10446253,0,-7.318100909,0.066298108,0
331,(주)네오위즈홀딩스,42420,2021,0.41298508,0.157437508,0.277693616,35.61,-0.75,-65.05950916,0,-7.968742114,0.034599433,0
332,(주)네오크레마,311390,2020,0.291611591,0.150083713,0.015425371,45.55,0.39,-48.48924809,0,-5.56472387,0.381602036,0
334,(주)네오티스,85910,2012,0.439442384,0.221849441,0.021011406,20.82,-0.85,-53.81556676,0,-6.360096636,0.172621463,0
335,(주)네오티스,85910,2013,0.352040936,0.5841505,0.085721405,17.12,0.22,-55.07649091,0,-5.928266428,0.265602142,0
336,(주)네오티스,85910,2014,0.358123597,0.432139395,0.085371359,6.03,0.29,-56.39238164,0,-6.088467607,0.22637469,0
338,(주)네오티스,85910,2016,0.21675875,0.503169565,0.086624172,14.05,0.62,-56.18499998,0,-5.913215977,0.269618948,0
340,(주)네오티스,85910,2018,0.36404663,0.899138646,0.045137736,4.88,1.39,-56.33395767,0,-5.781672178,0.307407576,0
341,(주)네오티스,85910,2019,0.354600055,1.032878342,0.041170506,3.06,1.59,-55.64866949,0,-5.524526909,0.397191579,0
343,(주)네오티스,85910,2021,0.219132887,1.006863067,0.015670703,8.58,2.21,-59.90794462,0,-6.226889979,0.197169122,0
344,(주)네오팜,92730,2012,0.40457501,0.093287427,0.004474273,37.1,-1.87,-52.30642891,0,-6.506848338,0.149095205,0
345,(주)네오팜,92730,2013,0.440605311,0.118678107,0.023636905,43.71,-1.41,-52.19717683,0,-6.542272851,0.143913503,0
346,(주)네오팜,92730,2014,0.477871414,0.04381297,0.16716791,49.93,-0.97,-54.56418714,0,-6.77119518,0.114501122,0
347,(주)네오팜,92730,2015,0.459254127,0.030072815,0.07473933,38.78,-0.85,-55.42457936,0,-6.953429478,0.095444134,0
348,(주)네오팜,92730,2016,0.525704702,0.040762401,0.033397059,55.8,-0.67,-54.82580973,0,-7.292997055,0.067982367,0
349,(주)네오팜,92730,2017,0.586982979,0.02590412,0.017022784,61.79,-0.79,-56.22139255,0,-7.783273108,0.041647269,0
350,(주)네오팜,92730,2018,0.613714897,0.040627758,0.012206714,63.13,-1.09,-57.18206647,0,-8.039422783,0.032239108,0
351,(주)네오팜,92730,2019,0.481375568,0.042963425,0.000252283,72.39,-1.48,-59.48117661,0,-8.479727062,0.020759226,0
352,(주)네오팜,92730,2020,0.534674909,0.065124572,0.012949464,74.2,-1.6,-57.85701857,0,-8.252645008,0.026050056,0
353,(주)네오팜,92730,2021,0.584681468,0.064374745,0.045126292,75.69,-1.29,-58.6261533,0,-8.378283479,0.022975127,0
367,(주)네이블커뮤니케이션즈,153460,2021,0.254398921,0.076930313,0.017461879,68.97,-1.03,-46.27304964,0,-5.644344534,0.352499677,0
378,(주)네패스,33640,2012,0.187128979,0.597537596,0.146757256,2.05,1.22,-61.95222894,0,-6.456944686,0.156712423,0
383,(주)네패스,33640,2017,0.144634738,0.907868663,0.195653852,-0.67,1.71,-62.57142383,0,-6.104925571,0.222687743,0
384,(주)네패스,33640,2018,0.237506738,0.624709834,0.068597751,-5.35,1.22,-62.26128955,0,-6.641166239,0.130380171,0
385,(주)네패스,33640,2019,0.183974634,0.596870958,0.165105791,10.42,0.92,-65.33470627,0,-7.171927987,0.076725179,0
386,(주)네패스,33640,2020,0.050414497,0.552122571,0.31722261,13.04,2.21,-59.71171887,0,-5.569226877,0.379894056,0
387,(주)네패스,33640,2021,-0.011532672,0.947665578,0.251112062,3.64,1.89,-61.2277281,0,-5.541274956,0.39062056,0
389,(주)넥스지,81970,2012,0.645745732,0.168673071,0.024009024,54.85,-3.62,-46.15249027,0,-6.052280567,0.234696965,0
390,(주)넥스지,81970,2013,0.68532038,0.097511209,0.088606182,57.42,-2.05,-52.40109416,0,-7.031658645,0.088268539,0
391,(주)넥스지,81970,2014,0.650296511,0.21146478,0.009615823,54.42,-1.53,-53.2659228,0,-7.175993195,0.076414146,0
392,(주)넥스지,81970,2015,0.670665726,0.126466049,0.053205884,52.17,-1.01,-51.730719,0,-6.79703387,0.111583717,0
393,(주)넥스지,81970,2016,0.670863541,0.100329957,0.087284094,54.62,-0.67,-46.36725082,1,-5.778498203,0.308381816,블록체인-가상화폐
394,(주)넥스지,81970,2017,0.696359584,0.053412209,0.014730406,54.43,-0.92,-45.48018659,1,-5.883089918,0.277842181,블록체인-가상화폐
395,(주)넥스턴바이오사이언스,89140,2012,0.655554773,0.223425041,0.030081529,57.45,-1.02,-52.68593036,0,-7.029062589,0.088497784,0
396,(주)넥스턴바이오사이언스,89140,2013,0.687356998,0.11633719,0.078935416,61.94,-0.65,-50.73717866,0,-6.712325696,0.121435672,0
397,(주)넥스턴바이오사이언스,89140,2014,0.706448048,0.162356322,0.159808892,65.38,-0.39,-53.05660541,0,-6.956670058,0.095135634,0
398,(주)넥스턴바이오사이언스,89140,2015,0.741312858,0.042853279,0.034359165,67.38,-0.56,-51.16802264,0,-7.103264863,0.082173965,0
399,(주)넥스턴바이오사이언스,89140,2016,0.420880102,0.027790359,0.025762037,81.91,-0.2,-68.19949296,0,-9.962657971,0.004712509,0
400,(주)넥스턴바이오사이언스,89140,2017,0.491615041,0.01875286,0.038780086,80.02,-1.93,-50.53905693,0,-6.964057736,0.094436053,0
401,(주)넥스턴바이오사이언스,89140,2018,0.441208598,0.136939139,0.153020638,71.83,-4.18,-57.30504274,0,-7.788591402,0.041426456,0
402,(주)넥스턴바이오사이언스,89140,2019,0.520414567,0.040672444,0.093167319,66.79,-2.55,-58.85828954,0,-8.181287725,0.027976306,0
403,(주)넥스턴바이오사이언스,89140,2020,0.516763797,0.018322581,0.275890552,65.14,-5.13,-47.07878341,0,-5.788538975,0.305310325,0
