848,시간,회사명,종목코드,공시제목,제출인
807,2021-10-20 19:23,에이치엔티,176440,관리종목지정사유일부해제(상장폐지 사유 해소),코스닥시장본부
806,2021-10-13 18:45,멜파스,096640,관리종목지정(파산신청),코스닥시장본부
805,2021-10-05 18:26,케스피온,079190,관리종목 해제(상장유지 결정),코스닥시장본부
804,2021-09-30 17:48,GRT,900290,"관리종목지정사유일부해제(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정 사유 해소)",코스닥시장본부
803,2021-09-24 17:50,세우글로벌,013000,관리종목지정사유변경,유가증권시장본부
802,2021-09-17 18:40,아이톡시,052770,관리종목지정사유추가(상장폐지사유 발생 ),코스닥시장본부
801,2021-09-17 18:19,이큐셀,160600,관리종목지정사유일부해제(자본잠식률 50% 미만으로 회복),코스닥시장본부
800,2021-09-17 17:51,초록뱀이앤엠,131100,관리종목지정(최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생),코스닥시장본부
799,2021-09-17 17:08,매직마이크로,127160,관리종목지정사유추가(회생절차 개시신청),코스닥시장본부
798,2021-09-17 16:36,케이비17호스팩,317030,관리종목지정(SPAC 상장예비심사청구서 미제출 등),코스닥시장본부
797,2021-09-15 18:02,라이트론,069540,관리종목 해제(상장유지 결정),코스닥시장본부
796,2021-09-13 18:24,하이소닉,106080,관리종목지정사유추가(상장폐지사유 발생),코스닥시장본부
795,2021-09-13 18:01,테크엘,064520,관리종목지정사유추가(상장폐지사유 발생),코스닥시장본부
794,2021-09-13 17:34,에스엠벡셀,010580,관리종목지정사유변경,유가증권시장본부
793,2021-09-08 17:41,자안바이오,221610,관리종목지정사유추가(상장폐지사유 발생),코스닥시장본부
792,2021-09-07 19:34,엔에이치스팩13호,310840,관리종목지정사유추가(상장폐지사유 발생),코스닥시장본부
791,2021-09-03 18:10,내츄럴엔도텍,168330,관리종목지정사유일부해제(상장유지 결정),코스닥시장본부
790,2021-09-02 18:21,코센,009730,관리종목지정사유추가(회생절차 개시신청),코스닥시장본부
789,2021-09-01 17:40,디아크,078590,관리종목지정사유일부해제(반기보고서 미제출 사유 해소),코스닥시장본부
788,2021-08-27 18:44,엠젠솔루션,032790,관리종목지정사유일부해제(반기보고서 미제출 사유 해소),코스닥시장본부
787,2021-08-27 18:06,GV,045890,관리종목지정사유추가(반기보고서 법정제출기한 익일부터 10일 이내 반기 검토(감사)보고서 미제출 ),코스닥시장본부
786,2021-08-27 17:51,하이소닉,106080,관리종목지정사유일부해제(자본잠식률 50% 미만으로 회복),코스닥시장본부
785,2021-08-25 13:48,세영디앤씨,052190,관리종목지정사유일부해제(반기보고서 미제출 사유 해소),코스닥시장본부
784,2021-08-24 18:33,이엠앤아이,083470,"관리종목지정사유추가(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정)",코스닥시장본부
783,2021-08-24 17:40,디아크,078590,관리종목지정사유추가(반기보고서 미제출 ),코스닥시장본부
782,2021-08-19 18:19,에스엠벡셀,010580,관리종목지정사유변경,유가증권시장본부
781,2021-08-17 20:11,세영디앤씨,052190,관리종목지정사유추가(반기보고서 미제출),코스닥시장본부
780,2021-08-17 20:11,세코닉스,053450,관리종목 해제(상장폐지 사유 해소),코스닥시장본부
779,2021-08-17 19:48,GV,045890,관리종목지정사유추가(반기보고서 미제출),코스닥시장본부
778,2021-08-17 19:36,테라셈,182690,"관리종목지정사유추가(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정)",코스닥시장본부
777,2021-08-17 19:34,레드로버,060300,"관리종목지정사유추가(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정)",코스닥시장본부
776,2021-08-17 19:09,CNT85,056730,"관리종목지정사유추가(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정)",코스닥시장본부
775,2021-08-17 19:07,지티지웰니스,219750,"관리종목지정(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정)",코스닥시장본부
774,2021-08-17 19:06,엠젠솔루션,032790,관리종목지정사유추가(반기보고서 미제출),코스닥시장본부
773,2021-08-17 18:53,노블엠앤비,106520,관리종목지정사유일부해제(자본잠식률 50% 미만으로 회복 ),코스닥시장본부
772,2021-08-17 18:41,하이트론씨스템즈,019490,관리종목지정,유가증권시장본부
771,2021-08-17 18:26,지나인제약,078650,관리종목지정(자본잠식률 50% 이상 등),코스닥시장본부
770,2021-08-17 18:23,아이톡시,052770,관리종목지정사유추가(자본잠식률 50% 이상 외 1건),코스닥시장본부
769,2021-08-17 18:06,명성티엔에스,257370,"관리종목지정사유추가(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정)",코스닥시장본부
768,2021-08-17 18:05,제이웨이,058420,"관리종목지정사유추가(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정)",코스닥시장본부
767,2021-08-17 17:59,코원플레이,056000,"관리종목지정사유추가(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정)",코스닥시장본부
766,2021-08-17 17:59,소리바다,053110,"관리종목지정사유추가(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정)",코스닥시장본부
765,2021-08-17 17:57,자안바이오,221610,관리종목지정(자본잠식률 50% 이상 등),코스닥시장본부
764,2021-08-17 17:56,비디아이,148140,"관리종목지정(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정)",코스닥시장본부
763,2021-08-17 17:55,좋은사람들,033340,"관리종목지정사유추가(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정 )",코스닥시장본부
762,2021-08-17 17:54,매직마이크로,127160,"관리종목지정사유추가(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정)",코스닥시장본부
761,2021-08-17 17:21,하이골드12호,172580,관리종목지정(반기검토의견 부적정),유가증권시장본부
760,2021-08-17 17:18,에프앤리퍼블릭,064090,관리종목지정사유일부해제(자본잠식률 50% 미만으로 회복),코스닥시장본부
759,2021-08-17 17:16,코오롱머티리얼,144620,관리종목지정,유가증권시장본부
758,2021-08-17 17:06,쎌마테라퓨틱스,015540,관리종목지정사유변경,유가증권시장본부
757,2021-08-17 16:43,뉴로스,126870,"관리종목지정사유추가(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정)",코스닥시장본부
756,2021-08-17 16:42,유테크,178780,"관리종목지정사유추가(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정)",코스닥시장본부
755,2021-08-17 16:17,유네코,064510,"관리종목지정사유추가(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정)",코스닥시장본부
754,2021-08-17 16:15,참존글로벌,158310,관리종목지정사유일부해제(자기자본 10억원 미만사유 해소 등),코스닥시장본부
753,2021-08-17 15:37,세우글로벌,013000,관리종목지정사유변경,유가증권시장본부
752,2021-08-13 18:26,청호ICT,012600,관리종목지정사유변경,유가증권시장본부
751,2021-08-13 18:23,ITX-AI,099520,"관리종목지정사유추가(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정)",코스닥시장본부
750,2021-08-13 17:17,성안,011300,관리종목지정사유변경,유가증권시장본부
749,2021-08-13 17:03,제이웨이,058420,관리종목지정사유일부해제(파산 신청 사유 해소),코스닥시장본부
748,2021-08-05 18:20,흥아해운,003280,관리종목지정해제,유가증권시장본부
747,2021-08-04 18:04,참존글로벌,158310,관리종목지정사유추가(상장적격성 실질심사 대상 결정),코스닥시장본부
746,2021-08-02 17:52,엔에이치스팩13호,310840,관리종목지정(SPAC 상장예비심사청구서 미제출 등),코스닥시장본부
745,2021-07-30 17:23,우리로,046970,관리종목지정(상장적격성 실질심사 대상 결정),코스닥시장본부
744,2021-07-29 17:54,흥아해운,003280,관리종목지정사유변경,유가증권시장본부
743,2021-07-23 19:36,골드앤에스,035290,관리종목지정사유일부해제(자본잠식률 50% 미만으로 회복 등),코스닥시장본부
742,2021-07-20 18:10,키움제5호스팩,311270,관리종목지정사유추가(상장폐지 사유발생),코스닥시장본부
741,2021-07-14 15:54,좋은사람들,033340,관리종목지정사유일부해제(분기보고서 미제출 사유 해소),코스닥시장본부
740,2021-07-05 18:07,애머릿지,900100,관리종목지정사유일부해제(상장폐지 사유 해소),코스닥시장본부
739,2021-07-01 18:13,ARIRANG KRX300IT,309170,ETF 관리종목 지정,유가증권시장본부
738,2021-07-01 18:12,HANARO 단기통안채,306540,ETF 관리종목 지정,유가증권시장본부
737,2021-07-01 18:12,KODEX China H선물인버스(H),291660,ETF 관리종목 지정,유가증권시장본부
736,2021-07-01 18:12,KOSEF 고배당,104530,ETF 관리종목지정 해제,유가증권시장본부
735,2021-07-01 18:12,KODEX FnKorea50,296710,ETF 관리종목 지정,유가증권시장본부
734,2021-06-30 18:08,우리로,046970,관리종목 해제(상장폐지 사유 해소),코스닥시장본부
733,2021-06-30 18:01,SK4호스팩,307070,관리종목지정사유추가(상장폐지사유 발생),코스닥시장본부
732,2021-06-28 16:47,오리엔트바이오,002630,관리종목지정,유가증권시장본부
731,2021-06-28 15:57,큐리언트,115180,관리종목지정(상장적격성 실질심사 대상 결정),코스닥시장본부
730,2021-06-25 18:08,하나머스트제6호스팩,307160,관리종목지정사유추가(상장폐지사유 발생),코스닥시장본부
729,2021-06-23 18:41,참존글로벌,158310,관리종목지정사유일부해제(상장폐지 사유 해소),코스닥시장본부
728,2021-06-22 18:43,엠젠솔루션,032790,관리종목지정사유추가(상장폐지사유 발생),코스닥시장본부
727,2021-06-22 18:28,솔고바이오,043100,관리종목 해제(상장유지 결정),코스닥시장본부
726,2021-06-22 17:46,스포츠서울,039670,관리종목지정사유일부해제(최근 3사업연도중 2사업연도 자기자본 50% 초과 법인세비용차감전계속사업손실 발생 사유 해소),코스닥시장본부
725,2021-06-22 17:43,강원에너지,114190,관리종목지정(상장적격성 실질심사 대상 결정),코스닥시장본부
724,2021-06-21 18:25,비츠로시스,054220,관리종목지정사유추가및일부해제(최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생 등),코스닥시장본부
723,2021-06-18 18:21,크로바하이텍,043590,관리종목지정사유추가(상장적격성 실질심사 대상 결정),코스닥시장본부
722,2021-06-18 18:15,키움제5호스팩,311270,관리종목지정(SPAC 상장예비심사청구서 미제출 등),코스닥시장본부
721,2021-06-16 16:16,메이슨캐피탈,021880,관리종목 해제(최근 4사업연도 연속 영업손실 발생 사유 해소),코스닥시장본부
720,2021-06-15 18:27,참존글로벌,158310,관리종목지정사유추가및일부해제(매출액 30억원 미달 등),코스닥시장본부
719,2021-06-10 13:11,한프,066110,관리종목지정사유일부해제(파산 신청 사유 해소),코스닥시장본부
718,2021-06-08 18:05,커머스마이너,223310,관리종목지정사유추가(상장폐지사유 발생),코스닥시장본부
717,2021-06-02 18:04,좋은사람들,033340,관리종목지정사유추가(회생절차 개시신청),코스닥시장본부
716,2021-06-01 16:50,소리바다,053110,관리종목지정사유일부해제(분기보고서 미제출 사유 해소),코스닥시장본부
715,2021-06-01 12:42,참존글로벌,158310,관리종목지정사유일부해제(회생절차 개시신청 사유 해소),코스닥시장본부
714,2021-05-28 18:00,SK4호스팩,307070,관리종목지정(SPAC 상장예비심사청구서 미제출 등),코스닥시장본부
713,2021-05-27 17:11,애머릿지,900100,"관리종목지정사유일부해제(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정 사유 해소)",코스닥시장본부
712,2021-05-25 17:37,하나머스트제6호스팩,307160,관리종목지정(SPAC 상장예비심사청구서 미제출 등),코스닥시장본부
711,2021-05-21 18:27,코아시아옵틱스,196450,관리종목 해제(상장유지 결정),코스닥시장본부
710,2021-05-20 18:24,애머릿지,900100,관리종목지정사유일부해제(최근 4사업연도 연속 영업손실 발생 사유 해소),코스닥시장본부
709,2021-05-18 10:10,서부T&D,006730,관리종목 해제(분기보고서 미제출 사유 해소),코스닥시장본부
708,2021-05-17 19:27,유아이디,069330,관리종목지정사유일부해제(상장유지 결정),코스닥시장본부
707,2021-05-17 19:22,서부T&D,006730,관리종목지정(분기보고서 미제출),코스닥시장본부
706,2021-05-17 19:14,소리바다,053110,관리종목지정사유추가(분기보고서 미제출),코스닥시장본부
705,2021-05-17 18:46,유네코,064510,관리종목지정(상장폐지사유 발생),코스닥시장본부
704,2021-05-17 18:41,좋은사람들,033340,관리종목지정사유추가(분기보고서 미제출),코스닥시장본부
703,2021-05-17 18:00,애머릿지,900100,관리종목지정사유추가(최근 4사업연도 연속 영업손실 발생),코스닥시장본부
702,2021-05-14 19:58,소리바다,053110,관리종목지정(상장폐지사유 발생),코스닥시장본부
701,2021-05-14 17:35,화신테크,086250,관리종목지정사유일부해제(파산신청 사유 해소),코스닥시장본부
700,2021-05-14 15:39,한프,066110,관리종목지정사유일부해제(회생절차 개시신청 사유 해소),코스닥시장본부
699,2021-05-12 17:29,휴엠앤씨,263920,관리종목지정사유일부해제(회생절차 개시신청 사유 해소),코스닥시장본부
698,2021-05-11 17:02,ITX-AI,099520,관리종목지정사유일부해제(회생절차 개시신청 사유 해소),코스닥시장본부
697,2021-05-10 18:16,강원에너지,114190,관리종목 해제(상장폐지 사유 해소),코스닥시장본부
696,2021-05-10 16:37,와이투솔루션,011690,관리종목지정해제,유가증권시장본부
695,2021-05-07 16:11,크로바하이텍,043590,관리종목지정사유일부해제(상장폐지 사유 해소),코스닥시장본부
694,2021-05-04 17:27,한국정밀기계,101680,관리종목지정사유추가(상장적격성 실질심사 대상 결정),코스닥시장본부
693,2021-05-03 17:49,에스앤더블류,103230,관리종목지정사유추가(상장적격성 실질심사 대상 결정),코스닥시장본부
692,2021-05-03 10:51,에스앤씨엔진그룹,900080,관리종목지정사유추가(사업보고서 미제출),코스닥시장본부
691,2021-04-30 19:24,지더블유바이텍,036180,관리종목 해제(상장폐지 사유 해소),코스닥시장본부
690,2021-04-30 17:10,화신테크,086250,관리종목지정사유추가(파산신청),코스닥시장본부
689,2021-04-26 18:17,엔지스테크널러지,208860,관리종목지정사유추가(회생절차 개시신청),코스닥시장본부
688,2021-04-23 18:21,엑스큐어,070300,관리종목 해제(상장유지 결정),코스닥시장본부
687,2021-04-22 18:07,청호ICT,012600,관리종목지정사유변경,유가증권시장본부
686,2021-04-22 17:46,쎌마테라퓨틱스,015540,관리종목지정,유가증권시장본부
685,2021-04-21 18:22,이큐셀,160600,관리종목지정사유추가(상장적격성 실질심사 대상 결정),코스닥시장본부
684,2021-04-21 17:45,녹원씨엔아이,065560,관리종목지정(상장적격성 실질심사 대상 결정),코스닥시장본부
683,2021-04-15 18:14,이엠앤아이,083470,관리종목지정사유추가(주식분산기준미달),코스닥시장본부
682,2021-04-15 18:13,테크엘,064520,관리종목지정사유추가(주식분산기준미달),코스닥시장본부
681,2021-04-15 16:52,와이투솔루션,011690,관리종목지정사유변경,유가증권시장본부
680,2021-04-15 16:07,KG모빌리티,003620,관리종목지정사유변경,유가증권시장본부
679,2021-04-15 15:58,세우글로벌,013000,관리종목지정,유가증권시장본부
678,2021-04-15 15:58,성안,011300,관리종목지정,유가증권시장본부
677,2021-04-09 18:13,씨씨에스,066790,관리종목 해제(상장유지 결정),코스닥시장본부
676,2021-04-07 19:21,씨엔플러스,115530,관리종목지정사유추가(사업보고서 미제출),코스닥시장본부
675,2021-04-07 18:59,우리로,046970,관리종목지정(상장폐지사유 발생),코스닥시장본부
674,2021-04-07 18:14,엔지스테크널러지,208860,관리종목지정사유추가(상장폐지사유 발생 ),코스닥시장본부
673,2021-04-07 17:21,루멘스,038060,관리종목지정(최근 4사업연도 연속 영업손실 발생),코스닥시장본부
672,2021-04-06 18:59,크로바하이텍,043590,"관리종목지정사유추가및일부해제(최근 4사업연도 연속 영업손실 발생, 반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정 사유 해소 등)",코스닥시장본부
671,2021-04-02 16:24,강원에너지,114190,"관리종목지정사유일부해제(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정 사유 해소)",코스닥시장본부
670,2021-04-01 09:42,미래SCI,028040,관리종목지정사유추가(사업보고서 미제출),코스닥시장본부
669,2021-03-31 20:07,매직마이크로,127160,관리종목지정사유추가(사외이사수 미달),코스닥시장본부
668,2021-03-31 18:09,GV,045890,관리종목지정사유추가(사외이사수 미달),코스닥시장본부
667,2021-03-31 18:08,ITX-AI,099520,관리종목지정사유추가(회생절차 개시신청),코스닥시장본부
666,2021-03-30 20:16,MIT,038340,관리종목지정사유추가(상장폐지사유 발생),코스닥시장본부
665,2021-03-30 19:31,노블엠앤비,106520,관리종목지정(자본잠식률 50% 이상 등),코스닥시장본부
664,2021-03-30 19:03,세코닉스,053450,관리종목지정(상장폐지사유 발생),코스닥시장본부
663,2021-03-30 18:06,웨이브일렉트로,095270,관리종목지정(최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생),코스닥시장본부
662,2021-03-29 18:25,디에스앤엘,141020,관리종목지정사유추가(회생절차 개시신청),코스닥시장본부
661,2021-03-29 18:14,서진오토모티브,122690,관리종목지정(최근 4사업연도 연속 영업손실 발생),코스닥시장본부
660,2021-03-29 17:49,에프앤리퍼블릭,064090,관리종목지정(자본잠식률 50% 이상 등),코스닥시장본부
659,2021-03-26 19:07,대양제지,006580,관리종목지정(상장적격성 실질심사 대상 결정),코스닥시장본부
658,2021-03-26 18:35,와이투솔루션,011690,관리종목지정사유변경,유가증권시장본부
657,2021-03-25 19:03,JW홀딩스,096760,관리종목지정,유가증권시장본부
656,2021-03-25 19:03,JW생명과학,234080,관리종목지정,유가증권시장본부
655,2021-03-25 18:53,ITX-AI,099520,관리종목지정(상장폐지사유 발생),코스닥시장본부
654,2021-03-25 17:41,셀루메드,049180,관리종목 해제(상장유지 결정),코스닥시장본부
653,2021-03-23 20:59,코스온,069110,관리종목지정사유추가(상장폐지사유 발생),코스닥시장본부
652,2021-03-23 20:57,테라셈,182690,관리종목지정사유추가(상장폐지사유 발생),코스닥시장본부
651,2021-03-23 20:15,뉴로스,126870,관리종목지정(상장폐지사유 발생),코스닥시장본부
650,2021-03-23 20:08,메디앙스,014100,관리종목지정사유추가(상장폐지사유 발생),코스닥시장본부
649,2021-03-23 19:58,제이웨이,058420,관리종목지정사유추가(상장폐지사유 발생),코스닥시장본부
648,2021-03-23 19:58,에스디시스템,121890,관리종목지정사유추가(상장폐지사유 발생),코스닥시장본부
647,2021-03-23 19:53,GV,045890,관리종목지정(상장폐지사유 발생),코스닥시장본부
646,2021-03-23 19:50,스킨앤스킨,159910,관리종목지정사유추가및일부해제(최근 4사업연도 연속 영업손실 발생 등),코스닥시장본부
645,2021-03-23 19:49,맥스로텍,141070,관리종목지정(상장폐지사유 발생 ),코스닥시장본부
644,2021-03-23 19:45,매직마이크로,127160,관리종목지정사유추가(상장폐지사유 발생),코스닥시장본부
643,2021-03-23 19:33,코센,009730,관리종목지정사유추가및일부해제,코스닥시장본부
642,2021-03-23 19:12,디아크,078590,관리종목지정사유추가(상장폐지사유 발생 ),코스닥시장본부
641,2021-03-23 19:05,커머스마이너,223310,"관리종목지정사유일부해제(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정 사유 해소)",코스닥시장본부
640,2021-03-23 19:05,코오롱티슈진,950160,"관리종목지정사유일부해제(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정 사유 해소)",코스닥시장본부
639,2021-03-23 18:45,파루,043200,관리종목지정(최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생),코스닥시장본부
638,2021-03-23 18:35,에이치디,102210,관리종목지정사유추가(최근 4사업연도 연속 영업손실 발생),코스닥시장본부
637,2021-03-23 18:33,코원플레이,056000,관리종목지정사유추가(상장폐지사유 발생),코스닥시장본부
636,2021-03-23 18:33,블레이드 Ent,044480,"관리종목 해제(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정 사유 해소)",코스닥시장본부
635,2021-03-23 18:31,베스파,299910,관리종목지정(최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생),코스닥시장본부
634,2021-03-23 17:28,파나케이아,058530,관리종목지정사유추가(상장폐지사유 발생),코스닥시장본부
633,2021-03-23 16:58,엔시트론,101400,관리종목지정사유추가(최근 4사업연도 연속 영업손실 발생),코스닥시장본부
632,2021-03-23 16:57,세동,053060,관리종목 해제(자본잠식률 50% 미만으로 회복 등),코스닥시장본부
631,2021-03-22 20:18,좋은사람들,033340,관리종목지정(상장폐지사유 발생),코스닥시장본부
630,2021-03-22 20:14,태웅,044490,관리종목지정(상장폐지사유 발생),코스닥시장본부
629,2021-03-22 20:14,인포마크,175140,관리종목지정(최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생),코스닥시장본부
628,2021-03-22 20:14,대한그린파워,060900,관리종목지정(최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생 등),코스닥시장본부
627,2021-03-22 20:00,하이소닉,106080,관리종목지정사유추가(자본잠식률 50% 이상 등),코스닥시장본부
626,2021-03-22 19:41,테크엘,064520,관리종목지정사유추가및일부해제(최근 4사업연도 연속 영업손실 발생 등),코스닥시장본부
625,2021-03-22 19:19,지더블유바이텍,036180,"관리종목지정사유일부해제(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정 사유 해소)",코스닥시장본부
624,2021-03-22 19:19,제이웨이,058420,관리종목지정사유추가(상장적격성 실질심사 대상 결정),코스닥시장본부
623,2021-03-22 19:04,크루셜텍,114120,관리종목지정사유추가및일부해제(최근 4사업연도 연속 영업손실 발생 등),코스닥시장본부
622,2021-03-22 19:00,썸에이지,208640,관리종목지정(최근 4사업연도 연속 영업손실 발생 ),코스닥시장본부
621,2021-03-22 18:57,이엠앤아이,083470,관리종목지정사유추가및일부해제(자본잠식률 50%이상 등),코스닥시장본부
620,2021-03-22 18:45,바른손,018700,관리종목 해제(최근 4사업연도 연속 영업손실 발생 사유 해소),코스닥시장본부
619,2021-03-22 18:43,CNT85,056730,관리종목지정사유추가및일부해제(매출액 30억원 미달 등),코스닥시장본부
618,2021-03-22 18:15,코다코,046070,관리종목지정(최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생 ),코스닥시장본부
617,2021-03-22 17:58,코드네이처,078940,관리종목 해제(최근 3사업연도중 2사업연도 자기자본 50% 초과 법인세비용차감전계속사업손실 발생 사유 해소 ),코스닥시장본부
616,2021-03-22 17:31,레드로버,060300,관리종목지정사유일부해제(자본잠식률 50% 미만으로 회복),코스닥시장본부
615,2021-03-19 19:08,에스엘바이오닉스,214310,관리종목 해제(최근 3사업연도중 2사업연도 자기자본 50% 초과 법인세비용차감전계속사업손실 발생 사유 해소 ),코스닥시장본부
614,2021-03-19 18:56,엑서지21,043090,"관리종목 해제(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정 사유 해소)",코스닥시장본부
613,2021-03-19 17:13,세중,039310,관리종목지정(매출액 30억원 미달),코스닥시장본부
612,2021-03-19 15:20,픽셀플러스,087600,관리종목 해제(최근 4사업연도 연속 영업손실 발생 사유 해소 ),코스닥시장본부
611,2021-03-18 18:49,수성샐바시온,084180,관리종목 해제(최근 3사업연도중 2사업연도 자기자본 50% 초과 법인세비용차감전계속사업손실 발생 사유 해소),코스닥시장본부
610,2021-03-18 18:48,파나진,046210,관리종목 해제(최근 4사업연도 연속 영업손실 발생 사유 해소),코스닥시장본부
